"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Delino DeShields","Indians","45","195","169","40","8","1","2","24","13","20","47","9","2",".237",".322",".339",".662",".291","11379"
"Brandon Dixon","Tigers","3","14","13","3","1","0","0","2","2","1","4","0","0",".235",".284",".406",".690",".291","15214"
"Scott Heineman","Rangers","29","123","112","27","5","1","3","14","11","9","33","2","1",".237",".302",".374",".676",".291","14453"
"Mallex Smith","Mariners","134","561","502","125","22","6","5","69","34","45","125","36","8",".250",".318",".348",".666",".291","13608"
"Sam Hilliard","Rockies","89","387","351","80","16","3","12","49","41","29","130","10","3",".228",".290",".397",".686",".290","17954"
"Brandon Drury","Blue Jays","87","371","339","79","18","1","11","40","40","26","91","1","1",".232",".293",".388",".681",".290","11615"
"Chris Owings","","16","50","46","11","2","0","1","6","5","3","14","1","0",".242",".292",".392",".684",".290","10030"
"Franchy Cordero","Padres","115","477","434","99","19","4","15","56","50","36","164","10","3",".228",".291",".392",".684",".290","14567"
"Jon Berti","Marlins","75","238","214","51","9","2","4","28","19","18","55","11","3",".240",".310",".354",".664",".289","12037"
"Brent Rooker","Twins","3","14","13","3","1","0","0","2","2","1","5","0","0",".220",".293",".384",".677",".289","sa3003172"
"Austin Jackson","","23","98","88","21","5","1","2","11","9","8","29","1","0",".239",".306",".361",".667",".288","9848"
"Guillermo Heredia","Pirates","96","311","274","65","13","1","5","32","27","25","60","3","1",".238",".315",".344",".659",".288","18721"
"Steven Duggar","Giants","68","290","262","63","14","2","4","31","25","24","80","5","2",".240",".306",".361",".668",".288","17719"
"Travis Demeritte","Tigers","23","95","86","19","4","1","3","10","10","8","30","1","0",".220",".291",".383",".674",".288","15958"
"Sam Travis","Rangers","11","48","44","10","2","0","1","5","5","4","12","0","0",".239",".300",".370",".671",".288","16263"
"Chas McCormick","Astros","3","14","13","3","1","0","0","2","1","1","2","0","0",".239",".309",".356",".665",".288","sa3004174"
"Tony Kemp","Athletics","58","248","221","54","10","2","4","28","20","21","39","6","2",".243",".312",".352",".664",".288","14894"
"Eric Filia","Mariners","3","14","12","3","1","0","0","1","1","1","2","0","0",".249",".326",".335",".661",".287","sa827359"
"Michael A. Taylor","Nationals","39","109","100","23","5","0","3","14","12","8","35","4","1",".229",".290",".389",".678",".287","11489"
"Greg Allen","Indians","47","202","180","43","9","1","3","24","16","13","44","8","2",".240",".310",".351",".661",".287","16623"
"Lane Thomas","Cardinals","76","209","190","43","9","1","6","24","22","16","62","4","1",".225",".291",".380",".671",".287","16939"
"Jaylin Davis","Giants","23","97","88","20","4","0","3","10","10","7","31","1","0",".229",".294",".378",".672",".287","19552"
"Justin Williams","Cardinals","3","14","13","3","1","0","0","1","2","1","4","0","0",".241",".293",".377",".670",".285","15490"
"Luke Raley","Dodgers","6","28","25","6","1","0","1","3","3","2","8","0","0",".228",".295",".371",".666",".285","sa918048"
"Jarrod Dyson","Pirates","86","368","324","76","12","3","4","46","23","35","64","24","4",".235",".317",".331",".648",".285","4866"
"Shed Long","Mariners","128","534","481","110","22","2","13","55","49","43","150","8","3",".228",".296",".366",".662",".285","16542"
"Roman Quinn","Phillies","62","187","167","39","7","1","4","24","14","15","51","9","2",".234",".300",".361",".661",".285","13546"
"Carlos Gonzalez","","55","230","207","46","9","0","7","22","24","20","63","1","0",".225",".295",".370",".665",".284","7287"
"Hernan Perez","","5","21","20","5","1","0","1","2","2","1","5","0","0",".240",".283",".387",".670",".283","5751"
"Kyle Garlick","Phillies","3","14","13","3","1","0","1","2","2","1","5","0","0",".217",".272",".403",".675",".283","18063"
"Kyle Lewis","Mariners","115","480","439","99","20","1","15","47","52","35","156","2","1",".226",".286",".377",".662",".283","19508"
"Travis Jankowski","Reds","3","14","13","3","0","0","0","2","1","1","3","1","0",".243",".319",".318",".637",".282","13768"
"Troy Stokes Jr.","Tigers","5","20","18","4","1","0","0","2","2","2","5","0","0",".217",".296",".356",".652",".282","sa828871"
"Edward Olivares","Padres","2","7","6","2","0","0","0","1","1","0","1","0","0",".239",".291",".370",".661",".282","sa832015"
"Jason Martin","Pirates","15","43","39","9","2","0","1","5","4","3","10","1","0",".230",".289",".372",".662",".282","16429"
"Jesus Sanchez","Marlins","3","14","13","3","1","0","0","1","1","1","3","0","0",".239",".289",".371",".660",".281","sa872787"
"Jake Fraley","Mariners","60","250","228","52","12","1","7","26","25","17","64","6","2",".226",".286",".376",".662",".281","19260"
"Kevin Kramer","Pirates","24","84","76","17","4","0","2","9","9","6","24","1","0",".226",".294",".358",".652",".281","17689"
"Juan Lagares","","42","142","130","32","6","1","2","15","13","9","31","2","1",".245",".300",".356",".656",".281","5384"
"Brett Phillips","Royals","92","388","343","71","15","4","10","43","35","38","132","7","2",".208",".291",".359",".650",".279","14735"
"Charlie Culberson","Braves","21","72","67","16","3","0","2","8","8","4","19","1","0",".235",".282",".377",".658",".279","3298"
"Jake Marisnick","Mets","92","319","291","63","12","1","11","38","32","19","102","10","3",".215",".274",".381",".655",".278","11339"
"Daz Cameron","Tigers","3","14","12","3","1","0","0","1","1","1","4","0","0",".219",".292",".351",".643",".278","sa874736"
"Sean Rodriguez","Marlins","5","21","18","4","1","0","1","2","2","2","7","0","0",".201",".287",".355",".642",".278","6589"
"Jonathan Davis","Blue Jays","26","110","97","21","4","1","2","12","9","9","29","3","1",".216",".295",".338",".634",".277","15104"
"Cedric Mullins II","Orioles","18","74","68","16","4","0","1","8","6","5","14","2","0",".230",".286",".358",".645",".276","17929"
"Brian O'Grady","Rays","2","7","6","1","0","0","0","1","1","1","2","0","0",".201",".279",".369",".648",".276","16729"
"Garrett Stubbs","Astros","34","135","121","27","6","1","2","15","12","11","27","2","1",".224",".296",".339",".635",".275","18067"
"Joe McCarthy","Giants","3","14","12","3","1","0","0","1","1","1","4","0","0",".207",".297",".332",".629",".275","sa858039"
"Dustin Fowler","Athletics","2","7","6","1","0","0","0","1","1","0","2","0","0",".230",".275",".373",".648",".274","17098"
"Chris Shaw","Giants","5","21","19","4","1","0","1","2","2","1","7","0","0",".217",".274",".370",".644",".273","17738"
"Michael Hermosillo","Angels","16","70","62","13","3","0","2","8","6","5","23","1","0",".208",".285",".345",".630",".273","16285"
"Mickey Moniak","Phillies","3","14","13","3","1","0","0","1","1","1","4","0","0",".232",".279",".363",".642",".273","sa917920"
"Anthony Alford","Blue Jays","24","103","93","20","4","0","2","12","8","8","34","3","1",".216",".288",".339",".627",".273","14329"
"Luis Alexander Basabe","White Sox","2","7","6","1","0","0","0","1","1","1","2","0","0",".213",".285",".349",".634",".273","sa736915"
"Andrew Velazquez","Orioles","11","49","45","10","2","0","1","6","5","3","14","1","0",".229",".280",".357",".637",".273","14196"
"Adam Engel","White Sox","36","152","138","30","6","1","3","17","12","9","44","4","1",".221",".280",".351",".631",".272","15082"
"Kean Wong","Giants","3","14","13","3","1","0","0","1","1","1","3","0","0",".239",".293",".337",".630",".272","15994"
"Andrew Stevenson","Nationals","3","14","13","3","1","0","0","2","1","1","4","0","0",".236",".292",".335",".626",".271","17932"
"Ronnie Dawson","Astros","3","14","13","3","1","0","0","2","1","1","5","0","0",".206",".280",".348",".628",".271","sa873674"
"Dylan Moore","Mariners","11","47","43","9","2","0","1","5","4","4","13","1","0",".207",".280",".349",".629",".271","18042"
"Steve Wilkerson","","11","47","43","10","2","0","1","5","4","3","14","1","0",".222",".282",".346",".627",".271","16041"
"Tim Lopes","Mariners","11","47","43","10","2","0","1","5","3","3","10","2","1",".234",".292",".326",".618",".269","14137"
"Tyrone Taylor","Brewers","3","14","13","3","1","0","0","1","2","1","3","0","0",".218",".269",".359",".628",".268","13675"
"Charlie Tilson","Pirates","3","14","13","3","1","0","0","1","1","1","3","0","0",".241",".295",".320",".615",".268","12983"
"Tyler Wade","Yankees","26","112","101","22","5","0","2","12","8","9","30","3","1",".223",".289",".326",".615",".268","15730"
"Braden Bishop","Mariners","18","74","67","15","3","0","1","7","6","5","19","1","0",".225",".289",".323",".612",".267","17806"
"Harold Castro","Tigers","5","20","19","5","1","0","0","2","2","1","4","0","0",".250",".282",".342",".624",".267","14691"
"Seth Brown","Athletics","24","103","94","20","5","1","3","11","10","7","34","1","0",".209",".269",".355",".625",".267","18171"
"Erick Mejia","Royals","11","48","43","10","2","0","0","5","3","3","10","1","0",".233",".285",".327",".612",".265","15817"
"Blake Swihart","Rangers","3","14","12","3","0","0","0","1","1","1","4","0","0",".208",".272",".340",".611",".264","13176"
"Lewis Brinson","Marlins","71","303","278","59","12","2","7","29","28","19","92","5","1",".212",".270",".344",".615",".263","14352"
"Bubba Starling","Royals","26","109","101","22","5","0","2","11","10","6","29","1","0",".222",".270",".342",".612",".263","13356"
"Magneuris Sierra","Marlins","52","161","151","37","6","1","1","16","11","8","34","6","1",".243",".281",".327",".608",".262","17023"
"Drew Robinson","","3","14","12","2","1","0","0","1","1","1","5","0","0",".188",".276",".326",".603",".262","11761"
"Billy Hamilton","","37","159","144","33","5","2","1","19","8","12","37","11","2",".227",".288",".308",".596",".261","10199"
"Sam Haggerty","Mariners","3","14","12","2","1","0","0","1","1","1","4","0","0",".202",".286",".306",".592",".261","18054"
"Adolis Garcia","Rangers","29","123","116","24","5","0","4","13","13","5","42","2","1",".208",".248",".370",".618",".260","19287"
"Keon Broxton","Brewers","3","14","13","2","0","0","0","2","1","1","6","1","0",".186",".264",".336",".600",".260","9253"
"Skye Bolt","Athletics","2","7","6","1","0","0","0","1","1","1","2","0","0",".198",".269",".326",".595",".258","17723"
"Nick Heath","Royals","3","14","12","3","0","0","0","1","1","1","4","1","0",".212",".280",".304",".584",".256","sa918355"
"Monte Harrison","Marlins","29","124","113","23","4","0","3","12","11","8","47","3","1",".202",".267",".322",".589",".256","sa828691"
"Jose Siri","Mariners","3","14","13","2","0","0","0","1","1","1","5","0","0",".197",".248",".330",".577",".246","sa736940"
