"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Dilson Herrera","Orioles","10","32","29","6","2","0","2","4","4","3","11","1","0",".221",".295",".457",".752",".316","14335"
"Enrique Hernandez","Dodgers","107","361","320","78","16","1","14","47","47","33","73","3","1",".243",".317",".432",".749",".316","10472"
"Luis Urias","Brewers","123","495","434","109","22","3","11","60","50","48","104","3","2",".251",".336",".392",".728",".315","16622"
"Kolten Wong","Cardinals","139","542","475","125","25","4","10","61","55","45","83","16","6",".263",".341",".398",".738",".314","12532"
"David Bote","Cubs","92","303","265","65","13","1","9","36","36","30","80","4","1",".244",".329",".402",".731",".314","14593"
"Ben Zobrist","","42","174","153","39","9","1","3","20","17","19","25","0","1",".257",".338",".391",".729",".313","7435"
"Neil Walker","","53","163","143","35","7","0","5","19","20","17","34","1","0",".245",".330",".396",".726",".312","7539"
"Robel Garcia","Cubs","8","34","30","7","1","0","2","4","5","3","12","0","0",".232",".299",".447",".746",".312","13167"
"Rougned Odor","Rangers","139","568","512","116","24","2","29","71","76","44","158","11","7",".227",".296",".452",".748",".311","12282"
"Eric Sogard","Brewers","101","395","350","91","17","1","8","46","36","38","61","6","2",".259",".335",".384",".719",".310","7927"
"Jonathan Villar","Marlins","148","618","557","143","24","4","16","79","58","52","162","33","9",".257",".323",".400",".722",".310","10071"
"Niko Goodrum","Tigers","135","551","499","121","28","4","17","66","59","47","154","15","4",".243",".311",".418",".729",".310","12092"
"David Fletcher","Angels","123","519","476","133","28","3","5","65","46","36","55","7","3",".280",".334",".383",".717",".310","17992"
"Shed Long","Mariners","112","457","414","102","20","2","13","54","46","40","117","7","3",".247",".317",".401",".718",".308","16542"
"Brock Holt","","74","277","243","63","12","1","4","32","27","27","57","2","1",".258",".339",".367",".707",".308","9345"
"Jed Lowrie","Mets","101","303","268","66","14","1","8","34","35","32","67","0","0",".246",".328",".400",".728",".307","4418"
"Scooter Gennett","","74","301","279","73","15","1","9","36","38","16","70","1","1",".262",".305",".425",".730",".307","10339"
"Devon Travis","","13","50","47","12","3","0","1","6","6","2","9","1","0",".263",".305",".418",".723",".306","13862"
"Joe Panik","","43","172","155","41","9","0","3","19","16","14","17","2","1",".262",".324",".393",".717",".306","11936"
"Greg Garcia","Padres","82","234","199","48","9","2","3","26","19","29","50","1","1",".241",".343",".345",".689",".305","10951"
"Hanser Alberto","Orioles","136","550","517","147","24","2","11","60","53","17","53","4","2",".284",".311",".405",".717",".304","11902"
"Ildemaro Vargas","Diamondbacks","45","121","114","31","6","1","2","13","13","6","13","1","0",".274",".313",".400",".713",".304","13324"
"Jason Kipnis","","86","353","314","76","16","1","10","39","41","30","65","4","1",".242",".311",".401",".712",".304","9776"
"Jose Peraza","Red Sox","99","378","352","97","18","2","6","44","37","16","48","10","4",".274",".315",".393",".708",".302","13593"
"Mauricio Dubon","Giants","110","444","418","111","20","2","12","49","44","21","73","11","5",".266",".306",".406",".711",".302","16530"
"Franklin Barreto","Athletics","58","223","206","49","10","1","8","29","26","14","72","4","2",".236",".294",".419",".713",".301","15519"
"Isan Diaz","Marlins","127","527","466","106","21","3","16","60","58","52","147","4","3",".228",".310",".390",".701",".301","17922"
"Nicky Lopez","Royals","121","492","450","120","22","4","5","53","41","33","57","6","4",".267",".322",".370",".692",".299","19339"
"Luis Rengifo","Angels","30","119","106","26","5","1","2","14","11","11","25","1","2",".245",".322",".366",".688",".299","19858"
"Daniel Robertson","Rays","59","224","194","45","9","1","4","24","20","24","55","2","1",".232",".329",".348",".677",".298","14145"
"Domingo Leyba","Diamondbacks","25","69","63","16","4","0","2","8","7","4","13","0","0",".257",".304",".402",".706",".298","16404"
"Breyvic Valera","Padres","13","51","46","12","2","0","1","5","5","4","7","1","0",".253",".312",".381",".693",".297","12758"
"Adalberto Mondesi","Royals","131","550","509","128","25","8","16","71","66","25","152","47","11",".251",".287",".423",".710",".297","13769"
"Ryan Goins","Athletics","21","64","58","14","3","0","1","7","7","6","19","0","1",".238",".305",".385",".690",".296","9807"
"Donovan Solano","Giants","59","204","189","51","9","1","3","20","20","11","36","1","0",".270",".313",".375",".688",".295","8623"
"Thairo Estrada","Yankees","21","78","72","18","4","0","2","10","8","4","16","2","1",".251",".300",".391",".691",".295","16426"
"Luis Guillorme","Mets","22","67","59","14","3","0","1","7","6","7","12","1","0",".245",".323",".349",".672",".295","16451"
"Dustin Pedroia","Red Sox","6","22","20","5","1","0","0","2","2","2","3","0","0",".258",".324",".370",".693",".294","8370"
"Joey Wendle","Rays","86","344","315","81","19","3","5","40","34","19","64","10","3",".258",".309",".380",".689",".293","13853"
"Donnie Walton","Mariners","10","39","35","9","2","0","0","4","3","4","7","0","0",".248",".322",".342",".665",".292","19314"
"Dawel Lugo","Tigers","79","313","296","78","16","2","6","33","33","12","55","2","1",".264",".295",".394",".689",".291","14713"
"Brandon Drury","Blue Jays","93","362","334","78","18","1","11","38","40","24","89","1","1",".234",".291",".394",".685",".291","11615"
"Sheldon Neuse","Athletics","60","226","206","51","10","1","5","24","24","15","67","1","1",".245",".296",".385",".681",".289","19635"
"Alex Blandino","Reds","17","60","51","11","3","0","1","7","6","7","17","0","0",".224",".316",".342",".658",".289","16271"
"Ronny Rodriguez","Brewers","44","182","170","41","7","1","7","21","25","8","46","2","1",".240",".273",".419",".692",".288","11875"
"Daniel Descalso","Cubs","52","149","128","26","6","1","4","18","15","18","42","1","0",".202",".306",".353",".659",".288","8392"
"Josh Harrison","Phillies","48","169","154","37","8","1","4","18","17","9","32","3","1",".244",".296",".380",".676",".287","8202"
"Edmundo Sosa","Cardinals","8","23","21","5","1","0","0","3","2","1","5","1","0",".250",".305",".353",".658",".285","17022"
"Dee Gordon","Mariners","107","430","402","110","15","5","3","44","32","16","62","22","6",".274",".306",".358",".664",".285","8203"
"Kevin Kramer","Pirates","22","73","65","15","4","0","2","7","7","6","22","0","0",".231",".294",".366",".660",".283","17689"
"Tyler Wade","Yankees","31","113","103","24","5","1","2","14","11","8","29","5","1",".237",".300",".348",".648",".282","15730"
"Yolmer Sanchez","Giants","71","281","253","63","11","2","2","28","24","21","58","3","2",".248",".309",".337",".646",".281","11602"
"Kyle Farmer","Reds","35","109","100","23","5","0","3","11","12","6","27","2","0",".232",".285",".373",".658",".281","14813"
"Kean Wong","Giants","7","28","26","6","1","0","0","3","2","2","7","0","0",".244",".300",".345",".645",".280","15994"
"Pat Valaika","","15","56","52","12","3","0","2","6","6","3","16","0","0",".223",".268",".392",".660",".279","14885"
"Logan Forsythe","Phillies","30","104","90","19","3","0","2","11","11","12","27","0","0",".211",".311",".315",".626",".279","7185"
"Eduardo Nunez","","28","109","103","26","5","0","2","11","11","4","16","2","0",".255",".284",".369",".653",".278","6848"
"Andrew Velazquez","Orioles","8","31","29","7","1","0","1","4","3","2","9","1","1",".233",".283",".359",".642",".276","14196"
"Marco Hernandez","Red Sox","46","119","113","29","8","0","1","15","9","3","30","1","1",".255",".287",".351",".638",".274","13154"
"Harold Castro","Tigers","51","201","191","49","8","1","3","20","20","7","43","2","1",".259",".287",".355",".642",".274","14691"
"Mike Freeman","Indians","8","30","27","6","2","0","0","3","3","2","8","0","0",".236",".301",".329",".629",".273","11241"
"Richard Urena","Orioles","40","153","142","35","7","1","2","15","14","7","36","1","1",".243",".284",".352",".636",".273","16411"
"Ronald Torreyes","","10","27","26","6","1","0","1","3","3","1","4","1","0",".237",".277",".360",".637",".273","11400"
"Gordon Beckham","","10","39","36","8","2","0","0","4","3","3","9","0","0",".232",".291",".331",".622",".271","9015"
"Tzu-Wei Lin","Red Sox","8","28","25","6","1","0","0","3","2","2","7","0","0",".236",".295",".324",".619",".271","14678"
"Erik Gonzalez","Pirates","58","196","182","43","8","1","3","19","18","10","52","4","2",".238",".280",".348",".628",".269","13369"
"Adrian Sanchez","Nationals","13","43","40","10","2","0","0","4","4","2","9","0","0",".243",".288",".330",".618",".268","11338"
"Yangervis Solarte","","9","38","35","8","2","0","1","4","5","2","6","0","0",".235",".281",".353",".634",".264","5352"
"Wilmer Difo","Nationals","70","235","211","48","6","1","2","29","23","19","46","3","1",".229",".293",".293",".586",".252","14320"
"Alen Hanson","","22","57","53","9","1","0","1","6","5","2","16","2","1",".172",".211",".260",".471",".204","12926"
