"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Caleb Joseph","Orioles","70","242","226","54","11","1","7","26","24","12","59","0","0",".239",".283",".383",".666",".286","486.5","7087"
"Dustin Garneau","Athletics","32","117","106","23","6","0","3","11","12","10","30","0","0",".219",".289",".373",".662",".286","712.0","9433"
"Rene Rivera","Angels","54","208","190","44","7","0","7","18","27","13","56","0","1",".231",".289",".382",".671",".286","632.3","3648"
"Drew Butera","Royals","54","157","143","34","6","1","3","17","14","10","38","0","0",".241",".299",".352",".651",".285","681.2","3411"
"Josh Phegley","Athletics","50","170","157","35","11","0","4","18","16","10","28","0","0",".227",".282",".379",".661",".285","615.9","9308"
"A.J. Ellis","Marlins","40","152","134","29","6","0","4","11","11","13","27","1","1",".217",".300",".346",".645",".284","999.0","5677"
"Dioner Navarro","","24","94","86","20","3","0","2","9","10","7","19","1","0",".232",".289",".365",".655",".283","999.0","3179"
"Juan Centeno","Rangers","34","125","114","28","5","0","2","12","13","9","25","0","0",".246",".301",".356",".657",".283","999.0","7168"
"Jett Bandy","Brewers","45","172","157","35","6","0","5","15","19","11","38","1","0",".226",".282",".370",".652",".282","674.5","12508"
"Tony Wolters","Rockies","59","229","202","48","10","1","2","23","20","23","52","2","1",".236",".318",".328",".646",".281","603.0","11470"
"Andrew Susac","Orioles","34","109","98","21","4","0","3","10","11","9","31","1","0",".213",".284",".361",".644",".281","678.3","13132"
"Martin Maldonado","Angels","115","409","366","80","15","0","12","37","36","26","99","1","1",".219",".290",".358",".648",".279","399.4","6887"
"Jose Lobaton","","43","165","147","31","5","0","5","15","15","15","36","1","0",".213",".290",".345",".635",".276","690.0","4243"
"Pedro Severino","Nationals","55","174","159","38","7","0","3","15","18","13","36","1","1",".238",".300",".344",".643",".276","653.5","14523"
"Jeff Mathis","Diamondbacks","87","327","300","67","14","3","6","27","29","22","90","1","0",".224",".282",".356",".638",".275","730.0","3448"
"Ryan Hanigan","Rockies","39","155","139","32","5","0","3","13","18","11","37","0","0",".232",".295",".333",".628",".272","680.8","4952"
"David Freitas","Mariners","24","93","87","19","7","0","1","10","10","5","19","0","0",".224",".271",".350",".621",".269","999.0","10619"
"Ramon Cabrera","","11","43","39","9","2","0","1","3","4","2","8","0","0",".240",".287",".330",".617",".268","999.0","10327"
"Elias Diaz","Pirates","51","193","180","42","10","0","2","16","19","11","37","1","0",".232",".278",".326",".604",".265","683.1","11680"
"Chris Stewart","Pirates","45","169","152","33","5","1","3","15","13","13","33","0","0",".217",".285",".317",".603",".263","999.0","3878"
"Bobby Wilson","Rays","9","29","26","6","1","0","1","3","4","1","7","0","0",".229",".268",".338",".606",".262","999.0","6564"
"Derek Norris","Rays","97","384","351","70","13","0","13","38","38","23","92","5","1",".201",".258",".348",".606",".261","649.5","6867"
"Erik Kratz","Yankees","27","55","51","10","5","0","1","4","12","2","13","0","0",".202",".242",".367",".609",".259","999.0","4403"
"Stuart Turner","Reds","33","117","105","21","4","0","4","10","12","8","27","0","0",".200",".259",".341",".599",".259","693.0","15207"
"Eric Fryer","Cardinals","14","34","29","6","1","0","0","4","2","4","7","0","0",".202",".307",".244",".551",".258","999.0","8145"
