"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Michael Morse","Pirates","107","351","318","78","16","2","11","31","35","25","96","6","0","0",".245",".311",".412",".722",".313","-1.0","-0.2","0.2","984.7","3035"
"Ji-Man Choi","Angels","80","288","252","61","12","1","8","33","32","30","55","2","3","4",".242",".324",".393",".717",".312","-1.1","-1.2","0.0","990.7","5452"
"Jefry Marte","Angels","122","465","423","102","21","1","18","55","60","32","103","5","5","4",".241",".300",".423",".723",".311","-1.6","-0.9","0.3","388.1","5107"
"Logan Morrison","Rays","118","434","388","94","18","2","13","49","48","39","78","5","5","3",".242",".318",".399",".717",".310","-2.8","-0.5","0.1","618.8","9205"
"Chris Parmelee","Yankees","94","342","310","75","16","0","12","38","38","28","76","2","1","1",".242",".307",".410",".717",".309","1.3","-0.4","0.5","999.0","2554"
"Tyler Austin","Yankees","114","459","415","96","20","2","18","54","59","39","142","2","5","2",".231",".298",".419",".718",".309","-1.3","0.0","0.1","634.8","11850"
"Justin Morneau","","80","313","288","75","16","2","8","28","33","19","57","3","0","1",".260",".310",".413",".723",".309","0.0","-0.6","-0.1","909.2","1737"
"Mitch Moreland","Red Sox","120","427","390","95","22","0","15","40","62","29","103","6","1","0",".244",".304",".415",".720",".308","4.0","0.0","0.4","314.9","3086"
"Matt Hague","Blue Jays","88","367","332","85","17","1","8","37","38","28","65","5","2","1",".256",".322",".386",".707",".308","-6.1","-0.2","0.3","999.0","7772"
"Matt Olson","Athletics","138","572","500","110","33","1","19","70","65","65","157","2","2","0",".220",".310",".404",".714",".308","-1.5","0.1","0.9","801.0","14344"
"Andy Wilkins","Brewers","124","467","426","99","24","1","21","57","66","35","124","1","2","0",".232",".289",".441",".730",".308","-3.3","0.2","-0.1","999.0","11251"
"Cody Decker","Padres","109","400","368","82","18","2","21","50","58","25","139","3","1","1",".223",".275",".454",".729",".308","1.2","-0.4","-0.1","999.0","9665"
"Kyle Jensen","Diamondbacks","135","524","482","112","26","2","23","62","75","32","169","6","1","1",".232",".286",".438",".724",".308","-2.8","-0.4","-0.6","999.0","7706"
"Mark Canha","Athletics","81","317","285","69","14","1","10","38","40","23","78","5","3","1",".242",".307",".404",".710",".308","-1.7","0.0","0.1","688.3","11445"
"James Loney","Mets","130","502","468","133","21","0","9","45","53","27","53","3","2","1",".284",".325",".387",".711",".307","0.5","-0.3","0.0","853.9","4556"
"Darin Ruf","Phillies","121","404","369","88","17","1","17","49","56","24","98","6","1","1",".238",".292",".428",".720",".307","-3.3","-0.4","-0.2","993.7","9929"
"Christian Walker","Reds","135","567","523","126","24","1","23","64","70","36","165","4","1","2",".241",".293",".423",".715",".306","-5.4","-0.9","-0.2","886.7","13419"
"Marwin Gonzalez","Astros","128","434","404","106","22","2","11","49","42","19","91","4","7","5",".262",".301",".408",".710",".306","4.5","-0.9","0.6","522.6","5497"
"Stephen Cardullo","Rockies","134","507","465","117","24","3","14","48","55","31","91","6","5","6",".252",".304",".406",".711",".306","-0.7","-1.7","-1.0","846.7","11204"
"Yonder Alonso","Athletics","121","434","392","102","24","1","7","48","46","36","56","2","4","2",".260",".323",".380",".703",".305","1.6","-0.3","0.5","583.5","2530"
"Jason Rogers","Pirates","128","445","400","99","18","3","10","49","47","40","91","2","2","0",".248",".317",".383",".699",".305","-5.3","0.2","0.5","999.0","11773"
"Richie Shaffer","Indians","132","527","473","106","29","1","19","61","62","47","170","3","3","1",".224",".296",".410",".706",".304","-1.6","0.0","1.0","935.0","13271"
"Rob Refsnyder","Yankees","126","507","456","115","23","2","10","59","50","41","97","5","8","3",".252",".318",".377",".695",".303","-1.8","0.1","1.0","836.0","13770"
"Ryan Rua","Rangers","109","382","347","83","15","1","12","46","37","27","103","6","6","2",".239",".304",".392",".696",".302","1.3","0.2","0.2","545.8","12409"
"Ike Davis","Yankees","92","318","279","62","15","0","10","33","36","36","77","0","0","1",".222",".308",".384",".692",".300","-1.9","-0.6","-0.3","999.0","8433"
"Chris Colabello","Blue Jays","92","347","319","76","13","0","13","37","43","23","105","3","1","1",".238",".294",".401",".695",".299","-2.9","-0.4","-0.5","807.0","13051"
"Joey Terdoslavich","Braves","117","454","408","99","20","2","10","50","47","41","96","2","1","2",".243",".313",".375",".688",".299","-2.7","-0.9","-0.5","999.0","10593"
"Clint Robinson","Nationals","110","324","288","70","12","1","7","33","37","30","61","3","0","0",".243",".318",".365",".682",".299","-2.5","-0.2","-0.5","812.3","6908"
"Eric Campbell","Mets","113","387","337","79","14","2","7","47","39","40","78","6","7","3",".234",".324",".350",".674",".299","2.4","-0.1","0.2","999.0","6938"
"Ryan Howard","Phillies","106","370","343","74","16","0","21","41","65","22","114","2","0","1",".216",".265",".446",".711",".299","-5.5","-0.5","-0.9","784.9","2154"
"Ryan Zimmerman","Nationals","101","413","374","89","20","1","13","48","57","31","89","2","2","1",".238",".295",".401",".696",".299","-1.1","-0.2","-0.5","388.5","4220"
"Brett Wallace","Padres","123","371","334","76","14","0","12","40","39","29","112","7","0","0",".228",".302",".377",".679",".295","-5.1","-0.2","0.1","999.0","8434"
"Matt Duffy","Astros","126","518","475","113","19","2","16","61","62","28","134","10","2","2",".238",".292",".387",".679",".295","4.7","-0.7","1.0","999.0","12181"
"Matt Dominguez","Blue Jays","137","543","508","127","24","0","17","55","68","24","97","5","0","0",".250",".288",".398",".685",".294","3.1","-0.3","0.8","999.0","4903"
"Marc Krauss","Tigers","95","337","296","61","12","1","11","37","37","37","99","2","2","1",".206",".297",".365",".662",".290","0.9","-0.2","-0.2","999.0","7577"
"Brandon Snyder","Braves","75","246","229","52","13","1","8","27","28","14","81","2","2","0",".227",".276",".397",".674",".290","1.6","0.3","0.0","999.0","9856"
"Ben Paulsen","Rockies","131","459","424","98","22","4","12","42","46","31","125","2","2","2",".231",".285",".387",".672",".290","0.1","-0.6","-0.6","869.2","9741"
"Tyler Moore","Nationals","76","242","221","49","12","0","8","24","28","17","65","1","0","0",".222",".278",".385",".663",".284","-2.0","-0.1","-0.7","999.0","7244"
"Max Muncy","Athletics","116","437","383","83","15","2","9","47","39","47","106","3","3","1",".217",".304",".337",".641",".284","-3.6","0.0","-0.5","999.0","13301"
"Chris Dominguez","Reds","104","379","359","83","16","2","14","39","45","13","110","4","7","4",".231",".264",".404",".668",".284","0.1","-0.4","-0.8","999.0","9718"
"Jamie Romak","Diamondbacks","88","336","306","64","16","1","12","35","37","25","109","2","2","1",".209",".271",".386",".656",".283","-2.1","-0.1","-0.8","999.0","5552"
"Jake Elmore","Brewers","105","334","292","70","10","0","2","31","24","34","53","3","8","5",".240",".323",".295",".618",".279","0.2","-0.7","0.0","999.0","7290"
"Garin Cecchini","Red Sox","125","486","445","105","21","3","6","46","40","33","105","4","9","3",".236",".293",".337",".630",".276","3.8","0.3","-0.8","941.1","11608"
"Chris Johnson","Marlins","113","353","333","82","15","0","7","28","36","17","98","1","2","0",".246",".284",".354",".638",".276","0.5","0.2","-0.8","999.0","1191"
"Efren Navarro","Angels","124","469","432","106","18","2","4","47","38","33","86","1","1","2",".245",".299",".324",".623",".274","2.8","-0.9","-0.9","999.0","9854"
"Travis Ishikawa","Pirates","101","363","326","70","12","0","9","36","37","27","113","6","0","0",".215",".285",".334",".619",".272","2.4","-0.2","-0.6","999.0","4793"
"James Beresford","Twins","128","525","490","122","18","2","1","48","34","27","82","1","3","2",".249",".288",".300",".588",".260","1.3","-0.5","-0.7","999.0","4626"
"Don Kelly","Marlins","51","160","143","31","2","2","1","14","11","13","30","1","1","1",".217",".283",".280",".563",".250","-0.3","-0.3","-0.8","999.0","2216"
"Blake Lalli","Braves","94","316","293","65","14","0","2","25","22","17","65","2","0","1",".222",".268",".290",".558",".244","1.7","-0.6","-1.6","999.0","9246"
