"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Jose Briceno","Angels","89","330","312","66","11","1","10","31","33","14","80","1","3","2",".212",".246",".349",".596",".257","4.0","-0.4","0.6","999.0","13151"
"Jorge Saez","Yankees","56","202","182","35","5","0","6","21","22","17","72","1","1","1",".192",".262",".319",".581",".257","3.2","-0.3","0.3","999.0","sa658909"
"Hamlet Marte","Giants","72","285","265","56","12","1","6","27","23","17","95","0","2","1",".211",".257",".332",".589",".257","-6.0","-0.1","-0.6","999.0","sa597218"
"Luke Maile","Blue Jays","78","263","239","48","12","1","4","24","24","20","69","2","1","0",".201",".267",".310",".577",".256","3.0","0.1","0.3","598.3","13355"
"Taylor Gushue","Nationals","96","383","349","70","14","1","9","36","38","27","110","3","0","1",".201",".261",".324",".585",".256","-2.0","-0.6","-0.5","999.0","sa827360"
"Austin Rei","Red Sox","87","338","302","57","15","1","5","31","26","26","109","9","1","3",".189",".272",".295",".567",".256","0.0","-1.2","-0.3","999.0","sa659079"
"Tony Cruz","","67","222","205","42","8","0","6","20","23","14","68","1","0","0",".205",".257",".332",".588",".256","-0.2","-0.1","-0.2","999.0","2802"
"Trevor Brown","","58","195","179","39","8","0","2","16","13","13","40","2","2","0",".218",".278",".296",".574",".255","-0.7","0.3","0.0","999.0","13895"
"Webster Rivas","Padres","59","220","206","46","8","1","3","19","17","11","56","1","1","1",".223",".265",".316",".580",".255","-2.0","-0.3","-0.2","999.0","sa547912"
"Ronnie Freeman","Giants","71","249","231","52","9","1","3","22","17","14","57","1","0","0",".225",".270",".312",".582",".255","1.3","-0.1","0.1","999.0","sa658013"
"Christian Kelley","Pirates","90","355","320","68","11","1","4","31","26","24","84","6","0","3",".213",".278",".291",".569",".255","-1.0","-1.4","-0.3","999.0","sa875583"
"Joe Hudson","Cardinals","64","227","205","40","11","0","4","20","18","19","61","1","0","0",".195",".267",".307",".574",".254","3.8","-0.1","0.3","999.0","14412"
