"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Stephen Alemais","Pirates","107","424","382","89","15","4","3","40","31","31","80","2","12","9",".233",".291",".317",".608",".268","2.3","-1.5","-0.1","999.0","sa874070"
"Alex Mejia","","115","396","368","90","14","1","4","38","31","20","68","3","4","2",".245",".287",".321",".607",".268","-2.4","-0.2","-0.2","999.0","13877"
"C.J. Hinojosa","Giants","102","432","395","92","18","2","4","40","31","29","68","2","6","4",".233",".287",".319",".606",".267","-3.6","-0.7","-0.3","999.0","sa658616"
"Ernie Clement","Indians","103","465","431","103","23","3","2","50","34","25","43","4","14","10",".239",".286",".320",".606",".267","5.9","-1.5","0.3","999.0","sa915732"
"Jason Martinson","","95","383","348","65","12","2","14","39","42","27","167","5","4","3",".187",".255",".353",".608",".266","5.9","-0.6","0.1","999.0","sa548330"
"Ruben Tejada","","100","359","326","75","16","0","3","34","26","22","63","6","3","1",".230",".289",".307",".595",".266","-1.6","0.0","-0.4","999.0","5519"
"Kristopher Negron","Mariners","123","423","382","79","11","3","10","43","36","28","137","7","10","3",".207",".271",".330",".601",".265","2.1","0.6","0.2","999.0","5306"
"Dixon Machado","Marlins","122","455","411","93","18","1","4","42","33","33","80","4","7","3",".226",".289",".304",".593",".264","4.8","-0.1","0.3","999.0","11472"
"Andres Gimenez","Mets","120","502","455","99","17","4","7","48","36","26","121","13","22","13",".218",".278",".319",".597",".264","6.7","-1.2","0.8","600.6","sa917114"
"Adam Rosales","Twins","117","357","324","67","15","1","9","36","36","24","100","3","2","3",".207",".265",".343",".607",".263","-1.0","-1.0","-0.6","999.0","9682"
"Daniel Castro","Dodgers","109","395","372","92","16","1","4","36","31","16","48","1","2","1",".247",".278",".328",".606",".263","7.1","-0.2","0.7","999.0","15450"
"Austin Nola","Mariners","87","330","295","66","15","0","2","29","25","25","61","4","2","1",".224",".291",".295",".585",".262","2.0","-0.2","0.6","999.0","sa577789"
"Joe Dunand","Marlins","130","527","480","101","19","1","12","52","53","32","144","8","1","2",".210",".268",".329",".597",".261","-3.8","-0.9","-0.5","999.0","sa3005360"
"C.J. Chatham","Red Sox","113","463","437","105","17","3","5","42","36","18","110","3","7","5",".240",".273",".327",".600",".261","-1.2","-0.9","-0.6","999.0","sa873984"
"Pedro Florimon","Braves","100","294","267","55","11","3","5","30","25","22","100","2","5","3",".206",".270",".326",".595",".261","1.7","-0.4","-0.1","999.0","8385"
"Eric Stamets","Indians","93","345","310","63","13","1","8","33","29","21","99","5","6","1",".203",".263",".329",".592",".260","8.1","0.6","0.6","999.0","sa621787"
"Garabez Rosa","","126","510","493","119","16","1","10","48","47","11","133","3","2","3",".241",".261",".339",".600",".259","-1.5","-1.1","-2.0","999.0","sa455978"
"Jack Reinheimer","Orioles","114","460","418","92","15","2","5","47","31","34","106","3","14","6",".220",".281",".301",".582",".259","2.0","0.1","0.0","999.0","14938"
"Bengie Gonzalez","Nationals","107","395","361","81","16","2","3","36","28","28","76","1","7","4",".224",".280",".305",".585",".258","1.1","-0.4","-0.4","999.0","sa454764"
