"","Name","Team","position","marginal.total.points","dollar.value","status"
"380","Alcides Escobar",NA,"shortstop",-0.82,-2.25,""
"381","Reyes Moronta","Giants","pitcher",-0.82,-2.27,""
"382","Yoenis Cespedes","Mets","outfield",-0.83,-2.3,""
"383","Jose Castillo","Padres","pitcher",-0.84,-2.31,""
"384","Tommy Kahnle","Yankees","pitcher",-0.86,-2.36,""
"385","Nicky Delmonico","White Sox","outfield",-0.86,-2.37,""
"386","Paul Fry","Orioles","pitcher",-0.88,-2.41,""
"387","John Ryan Murphy","Diamondbacks","catcher",-0.88,-2.42,""
"388","Tyler Olson","Indians","pitcher",-0.88,-2.42,""
"389","Tyler Mahle","Reds","pitcher",-0.88,-2.43,""
"390","Aramis Garcia","Giants","catcher",-0.89,-2.44,""
"391","John Gant","Cardinals","pitcher",-0.9,-2.48,""
"392","Mitch Keller","Pirates","pitcher",-0.91,-2.49,""
"393","Ryne Stanek","Rays","pitcher",-0.92,-2.52,""
"394","Ruben Alaniz","Mariners","pitcher",-0.92,-2.52,""
"395","Adam Cimber","Indians","pitcher",-0.98,-2.7,""
"396","Jared Hughes","Reds","pitcher",-0.99,-2.73,""
"397","Kyle Barraclough","Nationals","pitcher",-1,-2.75,""
"398","A.J. Ellis",NA,"catcher",-1,-2.76,""
"399","Ervin Santana",NA,"pitcher",-1.02,-2.81,""
"400","Colin Poche","Rays","pitcher",-1.02,-2.81,""
"401","Jharel Cotton","Athletics","pitcher",-1.02,-2.82,""
"402","Sam Dyson","Giants","pitcher",-1.04,-2.87,""
"403","Tom Murphy","Rockies","catcher",-1.05,-2.88,""
"404","Reese McGuire","Blue Jays","catcher",-1.06,-2.93,""
"405","Bobby Wilson","Tigers","catcher",-1.07,-2.96,""
"406","Cionel Perez","Astros","pitcher",-1.09,-3,""
"407","Devin Mesoraco",NA,"catcher",-1.09,-3.01,""
"408","Yusmeiro Petit","Athletics","pitcher",-1.11,-3.06,""
"409","Jacob Stallings","Pirates","catcher",-1.13,-3.11,""
"410","Nick Hundley",NA,"catcher",-1.14,-3.15,""
"411","Josh Tomlin",NA,"pitcher",-1.15,-3.16,""
"412","Daniel Norris","Tigers","pitcher",-1.15,-3.17,""
"413","Drew Gagnon","Mets","pitcher",-1.18,-3.24,""
"414","Taylor Cole","Angels","pitcher",-1.2,-3.29,""
"415","Brian Goodwin","Royals","outfield",-1.2,-3.3,""
"416","Dylan Floro","Dodgers","pitcher",-1.2,-3.31,""
"417","Victor Reyes","Tigers","dh",-1.21,-3.33,""
"418","Matt Kemp","Reds","outfield",-1.21,-3.34,""
"419","Buck Farmer","Tigers","pitcher",-1.22,-3.35,""
"420","Matt Albers","Brewers","pitcher",-1.22,-3.36,""
"421","Corbin Burnes","Brewers","pitcher",-1.22,-3.36,""
"422","Jimmie Sherfy","Diamondbacks","pitcher",-1.23,-3.38,""
"423","Luke Gregerson","Cardinals","pitcher",-1.23,-3.39,""
"424","Junior Guerra","Brewers","pitcher",-1.24,-3.42,""
"425","J.B. Wendelken","Athletics","pitcher",-1.24,-3.42,""
"426","Steve Cishek","Cubs","pitcher",-1.25,-3.44,""
"427","Zach Duke",NA,"pitcher",-1.25,-3.44,""
"428","Thomas Pannone","Blue Jays","pitcher",-1.26,-3.48,""
"429","Trevor Hildenberger","Twins","pitcher",-1.27,-3.5,""
"430","Gabriel Moya","Twins","pitcher",-1.31,-3.59,""
"431","Ray Black","Giants","pitcher",-1.33,-3.65,""
"432","Luke Maile","Blue Jays","catcher",-1.33,-3.66,""
"433","Roenis Elias","Mariners","pitcher",-1.33,-3.66,""
"434","Erik Gonzalez","Pirates","second_base",-1.35,-3.71,""
"435","Cody Reed","Reds","pitcher",-1.36,-3.73,""
"436","Blake Parker",NA,"pitcher",-1.37,-3.76,""
"437","Kevin Plawecki","Mets","catcher",-1.38,-3.79,""
"438","Andrew Triggs","Athletics","pitcher",-1.38,-3.79,""
"439","Hector Velazquez","Red Sox","pitcher",-1.38,-3.79,""
"440","Steven Wright","Red Sox","pitcher",-1.4,-3.85,""
"441","Carson Smith",NA,"pitcher",-1.41,-3.88,""
"442","Addison Reed","Twins","pitcher",-1.42,-3.92,""
"443","Tim Mayza","Blue Jays","pitcher",-1.44,-3.96,""
"444","Chad Wallach","Marlins","catcher",-1.46,-4.03,""
"445","Martin Perez",NA,"pitcher",-1.46,-4.03,""
"446","Jonny Venters","Braves","pitcher",-1.47,-4.04,""
"447","Luis Perdomo","Padres","pitcher",-1.47,-4.06,""
"448","Jason Hammel",NA,"pitcher",-1.48,-4.06,""
"449","Rajai Davis","Mets","outfield",-1.48,-4.08,""
"450","Tanner Scott","Orioles","pitcher",-1.49,-4.09,""
"451","Doug Fister",NA,"pitcher",-1.51,-4.15,""
"452","Matt Wisler","Reds","pitcher",-1.51,-4.16,""
"453","Tyler Kinley","Marlins","pitcher",-1.54,-4.25,""
"454","Taylor Davis","Cubs","catcher",-1.55,-4.26,""
"455","Meibrys Viloria","Royals","catcher",-1.55,-4.26,""
"456","Yoan Lopez","Diamondbacks","pitcher",-1.55,-4.26,""
"457","Tony Cingrani","Dodgers","pitcher",-1.55,-4.26,""
"458","Noel Cuevas","Rockies","outfield",-1.55,-4.27,""
"459","Raudy Read","Nationals","catcher",-1.55,-4.27,""
"460","Caleb Joseph",NA,"catcher",-1.58,-4.34,""
"461","Cameron Maybin",NA,"outfield",-1.58,-4.35,""
"462","Kevin McCarthy","Royals","pitcher",-1.58,-4.36,""
"463","Dan Otero","Indians","pitcher",-1.59,-4.38,""
"464","Kyle Crick","Pirates","pitcher",-1.6,-4.41,""
"465","Zac Rosscup","Mariners","pitcher",-1.62,-4.47,""
