"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"131","A.J. Pollock","Dodgers","outfield","9256",553,500,71,22,72,9,0.253,6.69,18.42
"132","Eric Hosmer","Padres","first_base","3516",637,574,75,24,80,3,0.263,6.68,18.4
"133","Didi Gregorius",NA,"shortstop","6012",609,561,71,23,83,6,0.264,6.66,18.35
"134","Alex Verdugo","Dodgers","outfield","17027",532,480,65,17,67,6,0.284,6.59,18.15
"135","Rougned Odor","Rangers","second_base","12282",595,534,76,29,82,14,0.234,6.56,18.07
"136","Randal Grichuk","Blue Jays","outfield","10243",532,487,70,29,80,3,0.245,6.51,17.92
"137","Brian Anderson","Marlins","outfield","18289",658,578,76,21,74,5,0.259,6.5,17.88
"138","Steven Souza Jr.","Diamondbacks","outfield","5667",560,486,70,24,73,9,0.244,6.48,17.84
"139","Andrelton Simmons","Angels","shortstop","10847",651,597,73,13,73,11,0.277,6.46,17.78
"140","Miguel Cabrera","Tigers","dh","1744",595,528,70,20,75,1,0.277,6.37,17.54
"141","Jason Heyward","Cubs","outfield","4940",637,558,76,17,73,7,0.261,6.36,17.5
"142","Nick Markakis","Braves","outfield","5930",616,546,72,15,76,2,0.283,6.34,17.45
"143","Gregory Polanco","Pirates","outfield","12907",560,496,69,22,71,9,0.248,6.26,17.24
"144","Willy Adames","Rays","shortstop","15986",665,592,76,20,78,8,0.256,6.14,16.91
"145","Christian Walker","Diamondbacks","first_base","13419",588,518,71,25,77,6,0.247,6.14,16.89
"146","Ian Happ","Cubs","outfield","17919",560,482,70,24,73,8,0.238,5.96,16.41
"147","Mitch Moreland",NA,"first_base","3086",581,514,72,29,83,2,0.24,5.94,16.36
"148","Wilson Ramos","Mets","catcher","1433",422,383,49,16,57,1,0.273,5.93,16.33
"149","Hunter Renfroe","Padres","outfield","15464",546,496,66,30,79,4,0.233,5.92,16.3
"150","Michael Chavis","Red Sox","first_base","17321",560,503,73,25,77,4,0.248,5.92,16.29
