"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Manuel Margot","Padres","152","696","638","179","24","10","17","101","67","49","125","3","27","7",".281",".332",".429",".761",".326","9.0","2.0","3.8","151.5","14712"
"Ben Zobrist","Cubs","128","535","467","122","22","2","13","57","63","62","75","2","4","2",".261",".348",".400",".748",".325","0.0","-0.4","1.4","440.8","7435"
"Jacoby Ellsbury","Yankees","105","392","351","94","18","3","6","47","44","35","57","4","18","4",".268",".339",".387",".727",".317","-1.0","1.6","1.1","415.1","4727"
"Ben Gamel","Mariners","122","471","430","115","21","6","10","55","55","36","97","2","5","1",".267",".325",".414",".739",".316","0.0","0.3","1.0","413.8","12160"
"Jason Heyward","Cubs","137","554","497","131","21","3","12","55","60","52","76","3","10","2",".264",".336",".390",".726",".316","13.0","0.8","1.9","405.8","4940"
"Randal Grichuk","Blue Jays","121","483","447","111","21","4","20","58","63","30","142","4","4","1",".248",".300",".447",".748",".316","3.0","0.1","1.2","387.7","10243"
"Jose Bautista","Blue Jays","105","426","366","81","15","1","17","50","53","52","105","4","3","1",".221",".322",".407",".729",".315","-4.0","-0.1","-0.1","383.4","1887"
"Michael Taylor","Nationals","131","522","484","123","23","2","20","62","66","34","163","2","22","4",".254",".305",".434",".738",".311","10.0","2.4","2.3","206.2","11489"
"Guillermo Heredia","Mariners","92","336","297","79","14","1","4","39","35","26","49","9","3","2",".266",".339",".360",".700",".308","1.0","-0.5","0.7","649.2","18721"
"Kevin Pillar","Blue Jays","140","546","511","135","34","2","12","60","60","26","85","6","16","4",".264",".306",".409",".715",".307","9.0","1.2","2.3","300.0","12434"
"Billy Hamilton","Reds","134","555","511","131","19","8","3","37","42","41","114","1","58","8",".256",".312",".342",".654",".287","13.0","7.9","2.1","51.3","10199"
