"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Carlos Perez","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".295",".373",".668",".292","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","10642"
"Cam Maron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".312",".347",".659",".291","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa503041"
"Josh Phegley","Athletics","71","278","251","57","14","1","7","30","30","19","63","4","2","1","",".228",".289",".381",".670",".290","","84","-0.3","0.3","","-5.7","6.2","1.0","","591.0","9308"
"Miguel Montero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".306",".356",".662",".290","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","3364"
"Jake Rogers","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".286",".379",".665",".289","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874230"
"Austin Hedges","Padres","73","292","268","60","12","1","11","28","35","18","76","2","2","1","",".225",".277",".400",".677",".289","","82","-0.2","0.4","","-6.7","6.5","0.9","","324.1","12976"
"Tim Federowicz","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".292",".373",".665",".289","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","8609"
"John Silviano","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".284",".382",".666",".289","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658243"
"Jett Bandy","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".288",".374",".663",".288","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","12508"
"Patrick Mazeika","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".302",".351",".653",".288","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827167"
"Blake Swihart","Red Sox","29","118","106","25","5","0","2","13","12","9","31","1","2","1","",".235",".300",".354",".655",".288","","75","0.2","-0.1","","-3.3","0.0","0.1","","546.6","13176"
"Carlos Garay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".299",".360",".659",".288","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657431"
"Austin Wynns","Orioles","71","277","251","60","10","1","6","27","27","19","59","2","1","1","",".238",".296",".358",".655",".287","","79","-0.2","0.5","","-7.3","6.5","0.9","","588.3","15271"
"Meibrys Viloria","Royals","23","89","82","20","4","0","2","9","8","5","19","1","1","0","",".245",".295",".362",".657",".287","","78","0.1","0.0","","-2.3","1.9","0.3","","999.0","17109"
"Andrew Susac","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".295",".360",".654",".287","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","13132"
"Raudy Read","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".244",".289",".374",".663",".287","","76","0.0","0.0","","-0.2","0.1","0.0","","999.0","15766"
"Taylor Davis","Cubs","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".244",".304",".347",".652",".287","","78","0.0","0.0","","-0.3","0.2","0.0","","999.0","12782"
"Ryan Lidge","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".297",".353",".651",".287","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738984"
"Christian Bethancourt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".277",".387",".664",".286","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","10028"
"Jacob Stallings","Pirates","8","30","28","7","2","0","0","3","3","2","6","0","0","0","",".251",".296",".361",".657",".286","","79","0.0","0.0","","-0.8","0.6","0.1","","999.0","13723"
"Deivi Grullon","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".269",".397",".666",".286","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739661"
"Seby Zavala","White Sox","5","18","17","4","1","0","1","2","2","1","5","0","0","0","",".230",".284",".373",".657",".286","","80","0.0","0.0","","-0.4","0.4","0.1","","999.0","sa875572"
"David Freitas","Mariners","36","139","126","30","7","0","2","14","13","10","29","1","1","0","",".238",".297",".354",".652",".286","","83","0.0","-0.1","","-2.9","2.8","0.5","","999.0","10619"
"Jesus Sucre","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".293",".365",".659",".285","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","5942"
"Andrew Knapp","Phillies","23","90","78","17","3","0","2","9","9","10","27","1","1","0","",".217",".305",".342",".647",".285","","77","0.1","-0.9","","-2.5","1.0","0.1","","600.3","14942"
"Jorge Alfaro","Marlins","103","409","376","89","18","2","10","35","41","20","130","8","2","1","",".237",".288",".376",".664",".285","","81","-0.1","-1.8","","-9.6","6.8","1.0","","240.3","12180"
"Austin Romine","Yankees","39","152","139","32","6","0","4","16","17","9","36","1","1","0","",".232",".283",".371",".654",".285","","76","-0.2","-0.3","","-4.6","3.0","0.3","","531.2","5491"
"Kyle Higashioka","Yankees","8","30","27","6","1","0","1","3","3","2","7","0","0","0","",".218",".277",".378",".655",".284","","76","0.0","-0.1","","-0.9","0.5","0.1","","999.0","5517"
"Derek Norris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".282",".372",".654",".284","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","6867"
"Pedro Severino","Nationals","2","6","5","1","0","0","0","1","1","0","1","0","0","0","",".238",".294",".361",".655",".284","","73","0.0","0.0","","-0.2","0.2","0.0","","999.0","14523"
"Jamie Ritchie","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".310",".322",".632",".284","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829058"
"Lorenzo Quintana","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".277",".378",".655",".284","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005394"
