"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Kevin Quackenbush","Padres","0","0","4.62","0","1","0","1.0","1","1","0","1","0","1.43","7.64","3.73","4.63","0.0","0.0","999.0","12360"
"Kyuji Fujikawa","Rangers","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.45","9.09","4.43","4.63","0.0","0.0","999.0","14443"
"Chris O'Grady","Marlins","0","1","4.41","2","2","0","9.0","9","4","1","7","3","1.39","7.21","3.49","4.64","0.1","0.1","999.0","13818"
"Louis Coleman","Dodgers","0","0","4.37","0","1","0","1.0","1","0","0","1","0","1.37","8.90","4.10","4.64","0.0","0.0","999.0","9720"
"Josh Wall","Angels","0","0","4.44","0","1","0","1.0","1","0","0","1","0","1.39","7.77","3.59","4.64","0.0","0.0","999.0","4436"
"Ben Paullus","Padres","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.44","7.69","3.87","4.64","0.0","0.0","999.0","sa599733"
"Jake Stinnett","Cubs","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.45","7.70","4.14","4.64","0.0","0.0","999.0","sa738473"
"Colton Reavis","Rays","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.43","8.05","4.16","4.64","0.0","0.0","999.0","sa738451"
"Harold Arauz","Phillies","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.38","7.55","3.21","4.64","0.0","0.0","999.0","sa657710"
"Tommy Milone","Mets","0","0","4.51","0","0","0","1.0","1","1","0","1","0","1.33","7.10","2.48","4.64","0.0","0.0","999.0","7608"
"Kyle Lloyd","Padres","0","0","4.57","0","0","0","1.0","1","1","0","1","0","1.42","7.20","3.55","4.64","0.0","0.0","999.0","15378"
"Forrest Snow","Brewers","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.35","8.67","3.33","4.64","0.0","0.0","999.0","sa549462"
"Frank Herrmann","Phillies","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.32","8.62","3.03","4.64","0.0","0.0","999.0","7960"
"Michael Johnson","Dodgers","0","0","4.35","0","1","0","1.0","1","0","0","1","0","1.39","8.36","3.97","4.64","0.0","0.0","999.0","sa709717"
"Matt Murray","Royals","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.47","6.61","3.74","4.64","0.0","0.0","999.0","sa578194"
"Robert Morey","Marlins","0","0","4.61","0","0","0","1.0","1","1","0","1","0","1.45","6.44","3.43","4.64","0.0","0.0","999.0","sa392218"
"Hansel Robles","Mets","2","2","4.51","0","40","0","40.0","37","20","6","41","19","1.39","9.15","4.25","4.65","0.0","-0.1","669.0","11801"
"Tsuyoshi Wada","Cubs","0","0","4.51","0","0","0","1.0","1","1","0","1","0","1.32","7.79","2.76","4.65","0.0","0.0","999.0","13046"
"Taylor Guerrieri","Blue Jays","3","4","4.62","6","31","0","62.0","66","32","8","44","22","1.43","6.45","3.27","4.65","0.4","0.3","999.0","sa597787"
"Braulio Lara","Nationals","0","0","4.36","0","1","0","1.0","1","0","0","1","1","1.51","8.36","4.98","4.65","0.0","0.0","999.0","sa506176"
"Samuel Deduno","Astros","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.51","7.21","4.11","4.65","0.0","0.0","999.0","5285"
"Nick Maronde","Angels","0","0","4.30","0","1","0","1.0","1","0","0","1","0","1.36","7.86","3.54","4.65","0.0","0.0","999.0","12530"
"Josh Hodges","Marlins","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.46","7.50","4.10","4.65","0.0","0.0","999.0","sa501515"
"Jarrett Grube","Angels","0","0","4.34","0","1","0","1.0","1","0","0","1","0","1.28","7.52","2.73","4.65","0.0","0.0","999.0","7553"
"Kyle Lobstein","Pirates","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.51","6.59","3.91","4.65","0.0","0.0","999.0","9178"
"Mike Minor","Rangers","7","7","4.67","21","21","0","120.0","118","62","19","116","48","1.39","8.71","3.63","4.65","1.3","1.5","302.1","10021"
"Andrew Thome","Astros","0","0","4.50","0","1","0","1.0","1","1","0","1","0","1.50","6.37","3.86","4.65","0.0","0.0","999.0","sa827462"
"David Carpenter","Braves","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.43","7.92","3.80","4.65","0.0","0.0","999.0","9244"
"Evan Phillips","Braves","0","0","4.56","0","1","0","1.0","1","1","0","1","1","1.51","8.53","4.90","4.65","0.0","0.0","999.0","sa658921"
"Neil Holland","Indians","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.40","6.63","3.03","4.65","0.0","0.0","999.0","sa548553"
"Drew Storen","Reds","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.39","7.55","3.28","4.65","0.0","0.0","999.0","6983"
"Jorgan Cavanerio","Marlins","0","0","4.59","0","0","0","1.0","1","1","0","1","0","1.39","5.76","2.66","4.65","0.0","0.0","999.0","sa598143"
"Louis Head","Indians","0","0","4.50","0","1","0","1.0","1","1","0","1","0","1.44","8.19","4.26","4.65","0.0","0.0","999.0","sa658343"
"Jace Fry","White Sox","1","2","4.36","0","30","0","30.0","29","15","4","27","16","1.50","8.24","4.75","4.65","0.0","0.0","999.0","16159"
"Jake Peavy","Giants","0","0","4.61","0","0","0","1.0","1","1","0","1","0","1.35","7.01","2.84","4.65","0.0","0.0","999.0","1051"
"Duane Underwood Jr.","Cubs","0","0","4.46","0","10","0","10.0","10","5","1","9","4","1.40","7.71","3.77","4.65","0.0","0.0","999.0","sa657936"
"Peter Tago","Mariners","0","0","4.37","0","1","0","1.0","1","0","0","1","1","1.47","9.04","5.07","4.65","0.0","0.0","999.0","sa548162"
"Kyle Crick","Pirates","2","2","4.54","0","45","0","45.0","43","23","5","44","26","1.52","8.79","5.16","4.65","-0.1","0.0","679.3","13182"
"Mason Melotakis","Twins","0","0","4.45","0","1","0","1.0","1","0","0","1","0","1.45","8.19","4.24","4.65","0.0","0.0","999.0","sa621016"
"Joe Mantiply","Tigers","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.39","7.00","3.15","4.65","0.0","0.0","999.0","14857"
"Zeke Spruill","Diamondbacks","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.42","6.61","3.07","4.65","0.0","0.0","999.0","3873"
"Dan Straily","Marlins","9","13","4.59","31","31","0","182.0","180","93","30","162","63","1.33","7.99","3.11","4.66","1.4","1.4","317.0","9460"
"John Fasola","Rangers","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.43","7.97","3.69","4.66","0.0","0.0","999.0","sa550022"
"Steve Johnson","Mariners","0","0","4.50","0","1","0","1.0","1","0","0","1","0","1.36","8.75","3.73","4.66","0.0","0.0","999.0","4053"
"Mike Clevinger","Indians","10","9","4.51","29","29","0","160.0","150","80","25","159","72","1.38","8.94","4.05","4.66","1.6","2.0","218.3","12808"
"Mike Soroka","Braves","0","0","4.67","0","0","0","1.0","1","1","0","1","0","1.39","6.72","2.90","4.66","0.0","0.0","622.6","sa874715"
"Marcos Molina","Mets","0","0","4.62","0","0","0","1.0","1","1","0","1","0","1.40","7.09","3.17","4.66","0.0","0.0","999.0","sa657917"
"Bradley Roney","Braves","0","0","4.43","0","1","0","1.0","1","0","0","1","1","1.57","10.12","6.29","4.66","0.0","0.0","999.0","sa598926"
"Casey Bloomquist","Cubs","0","0","4.58","0","0","0","1.0","1","1","0","1","0","1.41","5.80","2.82","4.66","0.0","0.0","999.0","sa875732"
"Iden Nazario","Cardinals","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.46","8.04","4.25","4.66","0.0","0.0","999.0","sa545221"
"Yimmi Brasoban","Padres","0","0","4.47","0","1","0","1.0","1","0","0","1","1","1.49","8.02","4.65","4.66","0.0","0.0","999.0","sa598120"
"Kendall Graveman","Athletics","9","10","4.80","28","28","0","160.0","181","85","22","106","50","1.44","5.95","2.82","4.66","1.4","1.1","484.0","15514"
"Sam Runion","Nationals","0","0","4.55","0","1","0","1.0","1","1","0","1","0","1.42","7.55","3.64","4.66","0.0","0.0","999.0","sa390308"
"Tejay Antone","Reds","0","0","4.58","0","0","0","1.0","1","1","0","1","0","1.42","6.14","2.94","4.66","0.0","0.0","999.0","sa658534"
"Dean Kiekhefer","Cardinals","0","0","4.52","0","1","0","1.0","1","1","0","1","0","1.45","6.53","3.43","4.66","0.0","0.0","999.0","10529"
"Nick Tropeano","Angels","3","3","4.44","8","8","0","46.0","44","22","7","41","17","1.33","8.16","3.39","4.66","0.4","0.5","623.0","12385"
"Ryan Buchter","Athletics","2","2","4.44","0","40","0","40.0","37","20","6","41","19","1.38","9.17","4.21","4.66","0.0","0.1","678.2","9456"
"Daury Torrez","Cubs","0","0","4.49","0","1","0","1.0","1","0","0","1","0","1.35","7.05","2.90","4.66","0.0","0.0","999.0","sa596959"
"Brandon Waddell","Pirates","0","0","4.59","0","0","0","1.0","1","1","0","1","0","1.54","7.00","4.43","4.66","0.0","0.0","999.0","sa875075"
"Justin Haley","Twins","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.34","7.25","2.83","4.66","0.0","0.0","999.0","13572"
"Tim Shibuya","Dodgers","0","0","4.52","0","0","0","1.0","1","1","0","1","0","1.36","5.54","2.31","4.67","0.0","0.0","999.0","sa580380"
"Hector Hernandez","Diamondbacks","0","0","4.61","0","1","0","1.0","1","1","0","1","0","1.43","7.70","3.69","4.67","0.0","0.0","999.0","sa501640"
"Stephen Shackleford","Phillies","0","0","4.53","0","1","0","1.0","1","1","0","1","0","1.40","8.74","4.00","4.67","0.0","0.0","999.0","sa549913"
"Chase Anderson","Brewers","9","11","4.77","29","29","0","168.0","172","89","29","153","55","1.35","8.25","2.93","4.67","1.8","1.4","170.1","6895"
"Jacob Webb","Braves","0","0","4.59","0","1","0","1.0","1","1","0","1","1","1.51","8.96","5.07","4.67","0.0","0.0","999.0","sa829328"
"Tyler Wagner","Diamondbacks","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.44","7.23","3.62","4.67","0.0","0.0","999.0","13796"
"Philip Pfeifer","Braves","0","0","4.40","0","1","0","1.0","1","0","0","1","1","1.53","9.29","5.61","4.67","0.0","0.0","999.0","sa602699"
"Tom Harlan","Pirates","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.43","7.15","3.42","4.67","0.0","0.0","999.0","sa658235"
"Yacksel Rios","Phillies","1","2","4.50","0","30","0","30.0","28","15","5","29","13","1.39","8.80","3.93","4.67","0.0","0.0","999.0","15007"
"Javy Guerra","Marlins","0","0","4.49","0","1","0","1.0","1","0","0","1","0","1.49","7.39","4.38","4.67","0.0","0.0","999.0","7407"
"Lou Trivino","Athletics","0","1","4.57","0","10","0","10.0","10","5","1","8","5","1.49","7.18","4.18","4.67","0.0","0.0","999.0","sa737939"
"Brian Clark","White Sox","0","0","4.39","0","1","0","1.0","1","0","0","1","0","1.45","7.40","3.91","4.67","0.0","0.0","999.0","sa827463"
"Jackson Stephens","Reds","2","3","4.56","5","25","0","47.0","47","24","7","41","17","1.36","7.79","3.26","4.67","0.3","0.2","999.0","14420"
"Greg Nappo","Marlins","0","0","4.38","0","1","0","1.0","1","0","0","1","0","1.41","8.04","4.12","4.67","0.0","0.0","999.0","sa599112"
"Forrest Whitley","Astros","2","2","4.65","5","5","0","28.0","26","14","4","28","12","1.40","8.96","4.01","4.67","0.3","0.3","578.8","sa917930"
"Dale Thayer","Padres","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.40","7.65","3.43","4.67","0.0","0.0","999.0","5032"
"Rowan Wick","Cardinals","0","0","4.55","0","10","0","10.0","10","5","1","9","5","1.46","8.26","4.46","4.67","0.0","0.0","999.0","sa549441"
"Jordan Jankowski","Astros","0","0","4.55","0","1","0","1.0","1","1","0","1","1","1.43","9.69","4.73","4.67","0.0","0.0","999.0","13313"
"Ben Griset","Mets","0","0","4.42","0","1","0","1.0","1","0","0","1","1","1.48","8.00","4.52","4.68","0.0","0.0","999.0","sa550008"
"Jake Zokan","Mariners","0","0","4.44","0","1","0","1.0","1","0","0","1","0","1.38","7.58","3.38","4.68","0.0","0.0","999.0","sa737880"
"Josh Smith","Athletics","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.38","7.42","3.23","4.68","0.0","0.0","999.0","10946"
"Karch Kowalczyk","Dodgers","0","0","4.42","0","1","0","1.0","1","0","0","1","0","1.47","6.89","4.05","4.68","0.0","0.0","999.0","sa829792"
"Jake Paulson","Reds","0","0","4.55","0","1","0","1.0","1","1","0","1","0","1.47","6.49","3.59","4.68","0.0","0.0","999.0","sa829444"
"Kevin Jepsen","","0","1","4.60","0","10","0","10.0","10","5","1","9","4","1.42","8.09","3.88","4.68","0.0","0.0","999.0","6475"
"Michael Kirkman","Brewers","0","0","4.54","0","1","0","1.0","1","1","0","1","1","1.50","8.40","4.70","4.68","0.0","0.0","999.0","9877"
"Marco Gonzales","Mariners","5","5","4.49","11","31","0","81.0","83","41","13","67","28","1.36","7.42","3.05","4.68","0.5","0.5","661.9","15467"
"Alex Wilson","Tigers","3","3","4.68","0","65","5","65.0","70","34","10","48","20","1.39","6.58","2.79","4.68","0.0","0.0","667.8","9239"
"Neil Wagner","Blue Jays","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.43","8.06","4.10","4.68","0.0","0.0","999.0","8162"
"Cory Rasmus","Angels","0","0","4.43","0","1","0","1.0","1","0","0","1","0","1.35","8.55","3.71","4.68","0.0","0.0","999.0","2413"
"David Carpenter","Nationals","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.41","8.14","3.73","4.68","0.0","0.0","999.0","3959"
"Rob Whalen","Mariners","1","1","4.56","0","15","0","15.0","15","8","2","13","6","1.40","7.56","3.55","4.68","0.0","0.0","999.0","14165"
"Brandon Woodruff","Brewers","8","10","4.73","26","26","0","151.0","156","79","23","129","55","1.40","7.70","3.28","4.68","1.6","1.3","377.6","16162"
"Wirfin Obispo","","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.36","8.67","3.70","4.68","0.0","0.0","999.0","sa530473"
"Drew Rucinski","Twins","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.35","7.16","2.71","4.68","0.0","0.0","999.0","12499"
"Dalier Hinojosa","Phillies","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.42","8.70","4.09","4.68","0.0","0.0","999.0","15671"
"Jeremy McBryde","Angels","0","0","4.40","0","1","0","1.0","1","0","0","1","0","1.34","8.25","3.54","4.68","0.0","0.0","999.0","sa328275"
"Yoan Lopez","Diamondbacks","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.44","8.44","4.23","4.68","0.0","0.0","999.0","sa862560"
"Scott Feldman","Reds","0","0","4.76","0","0","0","1.0","1","1","0","1","0","1.40","6.87","2.90","4.68","0.0","0.0","695.7","6283"
"Deck McGuire","Reds","0","0","4.57","0","1","0","1.0","1","1","0","1","0","1.34","8.69","3.41","4.68","0.0","0.0","999.0","11596"
"Jordan Montgomery","Yankees","10","9","4.55","28","38","0","163.0","163","82","27","147","59","1.36","8.13","3.23","4.68","1.7","1.8","250.3","16511"
"Brian Wilson","Dodgers","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.44","8.30","4.37","4.69","0.0","0.0","999.0","6485"
"Jerome Williams","Cardinals","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.41","6.21","2.64","4.69","0.0","0.0","999.0","1137"
"Andrew Bellatti","Rays","0","0","4.52","0","1","0","1.0","1","1","0","1","0","1.39","8.33","3.90","4.69","0.0","0.0","999.0","10657"
"Chad Bell","Tigers","2","3","4.55","3","28","0","43.0","44","22","6","36","18","1.44","7.45","3.75","4.69","0.2","0.3","999.0","10297"
"Tayron Guerrero","Marlins","0","1","4.48","0","10","0","10.0","9","5","1","10","6","1.52","8.67","5.30","4.69","0.0","0.0","999.0","11691"
"Jaime Schultz","Rays","2","2","4.53","5","5","0","28.0","25","14","4","28","15","1.47","9.19","5.01","4.69","0.2","0.3","654.4","sa708975"
"Eduardo Paredes","Angels","2","2","4.43","0","35","0","35.0","33","17","5","32","14","1.36","8.13","3.68","4.69","-0.1","0.1","999.0","16344"
"Ian Gibaut","Rays","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.42","8.72","4.43","4.69","0.0","0.0","999.0","sa857671"
"Matt Belisle","Twins","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.42","6.91","3.19","4.69","0.0","0.0","568.1","1837"
"Logan Taylor","Mets","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.50","7.61","4.47","4.69","0.0","0.0","999.0","sa658168"
"Ben Taylor","Red Sox","0","0","4.64","0","10","0","10.0","10","5","2","9","4","1.40","8.24","3.82","4.69","0.0","0.0","999.0","18114"
"Vince Velasquez","Phillies","7","8","4.65","21","21","0","115.0","111","59","20","116","46","1.36","9.08","3.57","4.70","1.2","1.0","369.8","11189"
"David Aardsma","Braves","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.41","8.92","4.04","4.70","0.0","0.0","999.0","1902"
"Brian Matusz","Cubs","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.39","8.22","3.78","4.70","0.0","0.0","999.0","2646"
"Nestor Cortes","Orioles","0","0","4.48","0","10","0","10.0","10","5","2","10","4","1.33","8.87","3.36","4.70","0.0","0.1","999.0","sa738684"
"John Lannan","Mets","0","0","4.51","0","1","0","1.0","1","1","0","1","0","1.43","5.57","2.85","4.70","0.0","0.0","999.0","7080"
"Tony Sipp","Astros","1","1","4.54","0","25","0","25.0","24","13","4","24","10","1.37","8.59","3.68","4.70","0.0","0.0","999.0","8280"
"J.B. Wendelken","Athletics","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.42","8.81","4.22","4.70","0.0","0.0","999.0","14506"
"Joely Rodriguez","Phillies","0","0","4.45","0","1","0","1.0","1","0","0","1","0","1.51","7.35","4.38","4.70","0.0","0.0","999.0","11487"
"Eric Karch","Angels","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.37","6.90","3.16","4.70","0.0","0.0","999.0","sa827415"
"Jesse Hahn","Royals","4","6","4.71","13","23","0","81.0","87","43","10","57","33","1.47","6.31","3.60","4.70","0.5","0.6","699.1","13287"
"Dietrich Enns","Twins","0","0","4.49","0","10","0","10.0","10","5","2","9","4","1.38","8.07","3.63","4.70","0.0","0.1","999.0","13932"
"Greg Smith","Braves","0","0","4.63","0","0","0","1.0","1","1","0","1","0","1.39","6.33","2.69","4.70","0.0","0.0","999.0","3455"
"Patrick Schuster","Phillies","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.47","8.08","4.34","4.70","0.0","0.0","999.0","10029"
"Jose Rosario","Cubs","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.48","7.73","4.37","4.70","0.0","0.0","999.0","sa506730"
"Blaine Boyer","","0","1","4.67","0","10","0","10.0","11","5","1","7","4","1.44","6.59","3.26","4.70","0.0","-0.1","999.0","2237"
"Cesar Vargas","Padres","0","0","4.62","0","0","0","1.0","1","1","0","1","0","1.50","7.49","4.35","4.70","0.0","0.0","999.0","14099"
"Zach Lee","Padres","0","0","4.70","0","0","0","1.0","1","1","0","1","0","1.45","6.55","3.37","4.70","0.0","0.0","999.0","11468"
"Jason Richman","Dodgers","0","0","4.33","0","1","0","1.0","1","0","0","1","0","1.51","7.00","4.46","4.70","0.0","0.0","999.0","sa857658"
"Bryan Garcia","Tigers","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.44","8.75","4.29","4.70","0.0","0.0","999.0","sa873996"
"Jake Dunning","Giants","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.49","6.78","4.20","4.70","0.0","0.0","999.0","10803"
"Mitch Lambson","Brewers","0","0","4.52","0","1","0","1.0","1","1","0","1","0","1.42","8.65","4.10","4.71","0.0","0.0","999.0","sa577012"
"Ty Blach","Giants","6","7","4.59","19","19","0","115.0","130","58","15","63","34","1.43","4.93","2.69","4.71","0.7","0.7","666.8","14361"
"Corey Littrell","Cardinals","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.46","7.17","4.00","4.71","0.0","0.0","999.0","sa550166"
"John Kuchno","Pirates","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.52","6.23","3.76","4.71","0.0","0.0","999.0","sa658331"
"Miguel Diaz","Padres","1","2","4.62","2","27","0","34.0","33","17","5","31","16","1.45","8.15","4.18","4.71","0.0","-0.1","999.0","18815"
"Carlos Torres","Brewers","0","0","4.74","0","1","0","1.0","1","1","0","1","0","1.46","8.02","3.83","4.71","0.0","0.0","999.0","7624"
"Tyler Ihrig","Cubs","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.43","7.11","3.72","4.71","0.0","0.0","999.0","sa738252"
"Ryan Merritt","Indians","1","1","4.53","2","17","0","24.0","26","12","4","16","5","1.32","5.98","2.02","4.71","0.1","0.1","656.5","13688"
"Pat Misch","Marlins","0","0","4.58","0","0","0","1.0","1","1","0","1","0","1.43","6.40","3.29","4.71","0.0","0.0","999.0","5909"
"Miller Diaz","Diamondbacks","0","0","4.67","0","1","0","1.0","1","1","0","1","1","1.52","7.93","4.67","4.71","0.0","0.0","999.0","sa504858"
"Bryan Harper","Nationals","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.46","8.04","4.31","4.71","0.0","0.0","999.0","sa549768"
"Evan Rutckyj","Yankees","0","0","4.42","0","1","0","1.0","1","0","0","1","0","1.45","8.62","4.45","4.71","0.0","0.0","999.0","sa549263"
"Preston Morrison","Cubs","0","0","4.63","0","0","0","1.0","1","1","0","1","0","1.45","6.64","3.53","4.71","0.0","0.0","999.0","sa827432"
"Sam Selman","Royals","0","0","4.39","0","1","0","1.0","1","0","0","1","1","1.50","9.21","5.45","4.71","0.0","0.0","999.0","sa501758"
"Josh Collmenter","Braves","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.35","7.13","2.59","4.71","0.0","0.0","999.0","7312"
"Brennan Bernardino","Reds","0","0","4.43","0","1","0","1.0","1","0","0","1","1","1.48","8.15","4.61","4.71","0.0","0.0","999.0","sa829409"
"Seung Hwan Oh","Rangers","3","3","4.73","0","65","13","65.0","66","34","12","61","21","1.34","8.40","2.92","4.71","0.0","0.1","503.6","18719"
"Randy Fontanez","Dodgers","0","0","4.59","0","0","0","1.0","1","1","0","1","0","1.40","7.27","3.40","4.71","0.0","0.0","999.0","sa549664"
"Brandon Mann","Athletics","0","0","4.55","0","1","0","1.0","1","1","0","1","0","1.45","7.99","4.21","4.71","0.0","0.0","999.0","sa202622"
"Ryan Brinley","Nationals","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.40","7.18","3.29","4.71","0.0","0.0","999.0","sa875871"
"Ross Ohlendorf","Reds","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.39","9.12","3.99","4.71","0.0","0.0","999.0","8268"
"Zack Dodson","Pirates","0","0","4.73","0","0","0","1.0","1","1","0","1","0","1.45","5.82","2.95","4.72","0.0","0.0","999.0","sa501219"
"Donnie Hart","Orioles","2","2","4.57","0","40","0","40.0","43","20","6","30","14","1.43","6.81","3.25","4.72","0.0","0.0","999.0","15306"
"Cody Hebner","Padres","0","0","4.58","0","1","0","1.0","1","1","0","1","1","1.52","8.63","5.09","4.72","0.0","0.0","999.0","sa597962"
"Robby Scott","Red Sox","2","2","4.48","0","40","0","40.0","39","20","6","34","15","1.35","7.69","3.33","4.72","-0.1","0.2","999.0","13042"
"Matt Benedict","Pirates","0","0","4.85","0","0","0","1.0","1","1","0","1","0","1.43","5.68","2.59","4.72","0.0","0.0","999.0","sa598565"
"Ryan Butler","Padres","0","0","4.68","0","0","0","1.0","1","1","0","1","0","1.46","6.58","3.55","4.72","0.0","0.0","999.0","sa738201"
"Daniel Burawa","Braves","0","0","4.63","0","1","0","1.0","1","1","0","1","1","1.54","7.96","4.86","4.72","0.0","0.0","999.0","11397"
"Quintin Torres-Costa","Brewers","0","0","4.53","0","1","0","1.0","1","1","0","1","1","1.50","9.14","5.05","4.72","0.0","0.0","999.0","sa876206"
"Sam Bragg","Athletics","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.41","7.31","3.51","4.72","0.0","0.0","999.0","sa738235"
"Damien Magnifico","Angels","1","1","4.35","0","25","0","25.0","24","12","3","22","14","1.52","7.86","5.10","4.72","-0.1","0.0","999.0","13395"
"Edwar Cabrera","Astros","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.41","7.79","3.69","4.72","0.0","0.0","999.0","9211"
"Danny Farquhar","White Sox","2","2","4.53","0","45","0","45.0","43","23","7","43","20","1.40","8.55","3.96","4.72","0.0","0.1","999.0","8501"
"Alex Burgos","Dodgers","0","0","4.40","0","1","0","1.0","1","0","0","1","0","1.45","7.52","4.13","4.72","0.0","0.0","999.0","sa548431"
"Kevin Siegrist","Phillies","0","0","4.51","0","1","0","1.0","1","1","0","1","0","1.41","9.65","4.47","4.73","0.0","0.0","999.0","8180"
"Adam Loewen","Diamondbacks","0","0","4.40","0","1","0","1.0","1","0","0","1","1","1.58","9.62","6.26","4.73","0.0","0.0","999.0","2134"
"Victor Arano","Phillies","1","1","4.58","0","15","0","15.0","15","8","3","14","6","1.34","8.47","3.32","4.73","0.0","0.0","999.0","15915"
"Clay Buchholz","Phillies","0","0","4.67","0","0","0","1.0","1","1","0","1","0","1.39","7.40","3.13","4.73","0.0","0.0","999.0","3543"
"Ervin Santana","Twins","9","9","4.80","24","24","0","153.0","161","82","25","124","49","1.37","7.27","2.89","4.73","1.5","1.5","184.3","3200"
"Everett Teaford","Rays","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.40","6.93","3.40","4.73","0.0","0.0","999.0","3732"
"Ricky Nolasco","","9","11","4.79","29","29","0","166.0","179","88","27","129","50","1.38","7.02","2.71","4.73","1.4","1.3","679.3","3830"
"Hoby Milner","Phillies","2","2","4.47","0","35","0","35.0","35","17","5","30","13","1.39","7.80","3.47","4.73","0.0","0.0","999.0","13346"
"T.J. House","Blue Jays","0","0","4.53","0","1","0","1.0","1","1","0","1","0","1.47","7.20","4.03","4.73","0.0","0.0","999.0","9121"
"Framber Valdez","Astros","0","0","4.56","0","0","0","1.0","1","1","0","1","1","1.52","7.42","4.53","4.73","0.0","0.0","999.0","sa873146"
"Lance Lynn","","9","9","4.66","26","26","0","150.0","152","78","22","126","61","1.42","7.60","3.65","4.73","1.3","1.4","217.2","2520"
"Josh Beckett","Dodgers","0","0","4.72","0","0","0","1.0","1","1","0","1","0","1.36","7.95","3.16","4.73","0.0","0.0","999.0","510"
"Blake Logan","Marlins","0","0","4.69","0","0","0","1.0","1","1","0","1","0","1.41","7.62","3.66","4.73","0.0","0.0","999.0","sa658236"
"Michael O'Neal","Braves","0","0","4.61","0","1","0","1.0","1","1","0","1","0","1.46","7.51","3.94","4.73","0.0","0.0","999.0","sa914643"
"Alfredo Simon","","0","1","4.70","0","10","0","10.0","11","5","1","8","3","1.40","6.88","3.03","4.73","0.0","-0.1","999.0","2155"
"Brooks Pounders","Angels","1","1","4.49","0","30","0","30.0","28","15","5","28","12","1.34","8.46","3.54","4.73","-0.1","0.0","748.0","10387"
"Paul Voelker","Tigers","0","0","4.65","0","1","0","1.0","1","1","0","1","0","1.42","8.50","4.03","4.73","0.0","0.0","999.0","sa829176"
"Jharel Cotton","Athletics","9","10","4.72","28","28","0","161.0","160","84","27","142","59","1.37","7.98","3.31","4.73","1.3","1.3","397.0","13654"
"Tyler Clippard","","0","0","4.58","0","10","0","10.0","9","5","2","10","4","1.37","9.14","4.04","4.73","0.0","0.0","745.0","5640"
"Francisley Bueno","Royals","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.46","5.47","3.16","4.74","0.0","0.0","999.0","5980"
