"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ryan Schimpf","Rays","52","214","186","36","7","1","10","24","26","23","73","3","1","0","",".191",".288",".397",".685",".295","","84","0.5","-1.7","","-3.8","-0.8","0.3","","661.2","9953"
"Tzu-Wei Lin","Red Sox","4","14","13","3","1","0","0","2","1","1","3","0","0","0","",".253",".312",".362",".674",".294","","77","0.0","-0.1","","-0.4","0.1","0.0","","617.7","14678"
"Casey McGehee","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".315",".357",".671",".293","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","6086"
"Will Middlebrooks","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".280",".411",".691",".293","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","7002"
"David Wright","Mets","3","15","13","3","1","0","0","2","1","1","4","0","0","0","",".222",".304",".365",".669",".292","","81","0.0","0.0","","-0.4","-0.4","0.0","","999.0","3787"
"Hector Olivera","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".294",".385",".678",".292","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","17528"
"Giovanny Urshela","Indians","24","95","88","22","4","0","2","10","11","5","15","1","0","0","",".253",".294",".384",".678",".291","","76","-0.2","0.4","","-3.0","0.9","0.1","","999.0","10681"
"Juan Uribe","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".297",".379",".677",".291","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","454"
"Ronald Torreyes","Yankees","89","334","311","83","15","2","4","35","33","16","42","2","4","2","",".267",".306",".366",".672",".291","","78","0.2","0.6","","-9.1","2.4","0.5","","493.4","11400"
"Ramiro Pena","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".308",".365",".673",".291","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","8841"
"Rob Segedin","Dodgers","29","117","106","25","5","0","3","12","13","8","28","1","1","1","",".235",".293",".380",".672",".291","","79","0.0","-0.1","","-3.2","-2.9","-0.2","","999.0","11446"
"Taylor Davis","Cubs","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".247",".305",".360",".665",".290","","74","0.0","0.0","","-0.2","0.1","0.0","","999.0","12782"
"Ryder Jones","Giants","21","83","76","18","4","0","2","8","9","5","19","1","1","0","",".238",".291",".380",".671",".288","","77","0.0","-0.2","","-2.4","-1.5","-0.1","","999.0","15982"
"Matt Davidson","White Sox","97","391","355","75","14","1","17","41","47","28","137","4","1","1","",".212",".274",".398",".673",".287","","77","-0.7","-0.5","","-11.9","-9.8","-0.8","","452.0","7226"
"Kaleb Cowart","Angels","23","88","80","19","4","0","2","9","9","7","21","1","2","1","",".238",".299",".361",".661",".287","","79","0.1","-0.2","","-2.2","0.2","0.1","","646.3","11494"
"Jae-Gyun Hwang","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".292",".372",".665",".286","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","19369"
"Matt Dominguez","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".276",".392",".668",".285","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","4903"
"Cole Figueroa","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".311",".332",".644",".284","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","8790"
"Tyler Saladino","White Sox","52","216","196","47","8","1","4","22","19","15","47","2","6","3","",".238",".297",".351",".649",".284","","74","0.1","0.4","","-6.8","1.5","0.2","","698.0","10807"
"Kyle Farmer","Dodgers","12","49","45","11","2","0","1","5","5","3","9","0","0","0","",".247",".293",".359",".652",".282","","74","0.0","-0.2","","-1.7","0.5","0.0","","999.0","14813"
"Darwin Barney","Rangers","16","59","54","13","3","0","1","6","6","4","10","0","1","1","",".248",".297",".351",".648",".282","","68","0.0","0.1","","-2.4","0.6","0.0","","999.0","2430"
"Ramon Torres","Royals","34","142","132","34","6","1","2","13","12","7","21","1","4","2","",".259",".297",".349",".646",".281","","70","-0.2","0.1","","-5.5","0.8","0.0","","669.0","14113"
"Josh Rutledge","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".296",".344",".640",".280","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","11167"
"Andrew Burns","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".285",".358",".644",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","12779"
"Adrian Sanchez","Nationals","11","45","42","11","2","0","1","4","4","2","9","0","1","0","",".255",".295",".348",".643",".279","","66","0.0","-0.1","","-2.0","0.2","0.0","","999.0","11338"
"Danny Worth","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".301",".330",".630",".278","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","198"
"James Beresford","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".303",".327",".630",".277","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","4626"
"Phillip Evans","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".290",".343",".633",".276","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","12950"
"Andrew Romine","Mariners","25","102","93","22","4","0","1","10","9","6","22","1","2","1","",".239",".295",".333",".628",".276","","72","0.0","0.1","","-3.6","0.4","0.0","","664.4","1159"
"Alberto Callaspo","","24","99","89","21","4","0","1","9","9","8","16","1","1","1","",".232",".301",".325",".626",".276","","67","-0.6","-1.5","","-4.7","-1.1","-0.2","","999.0","3336"
"Christian Colon","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".306",".323",".629",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","11145"
"Donovan Solano","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".288",".341",".628",".273","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","8623"
"Alex Mejia","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".288",".337",".626",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","13877"
"Matt Reynolds","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".291",".330",".621",".272","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","13788"
"Reid Brignac","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".289",".329",".619",".272","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","8380"
"Gordon Beckham","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".280",".343",".623",".271","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","9015"
"Adam Rosales","Phillies","19","76","69","14","3","0","2","7","8","5","25","1","1","0","",".209",".269",".358",".627",".270","","62","0.0","-0.4","","-3.7","0.2","-0.1","","999.0","9682"
"Chase d'Arnaud","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".286",".321",".607",".266","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","6652"
"Jonathan Herrera","","41","167","155","37","7","1","2","14","14","9","33","1","2","1","",".236",".282",".326",".608",".266","","60","-0.3","-2.9","","-8.8","-0.8","-0.4","","999.0","4182"
"Matt Duffy","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".270",".340",".610",".265","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12181"
"Deven Marrero","Red Sox","17","64","59","13","3","0","1","6","6","4","18","0","1","1","",".225",".273",".321",".594",".260","","53","0.0","-0.2","","-3.6","0.2","-0.1","","633.6","13325"
"Taylor Featherston","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".267",".328",".595",".260","","59","0.0","0.0","","0.0","0.0","0.0","","999.0","12590"
"Pete Kozma","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".272",".290",".562",".250","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","2539"
"Juniel Querecuto","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".265",".286",".551",".243","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","12140"
"Yadiel Rivera","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".240",".273",".514",".225","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","11863"
