"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jose Reyes","Mets","59","253","229","57","10","2","6","28","24","20","39","1","8","3","",".249",".309",".388",".697",".301","","86","0.4","-1.6","","-4.0","-2.2","0.2","","314.4","1736"
"Max Moroff","Pirates","27","107","91","21","4","0","2","11","10","13","28","1","2","1","",".226",".325",".356",".680",".300","","83","-0.1","0.4","","-2.4","0.1","0.1","","688.3","14556"
"Dixon Machado","Tigers","94","378","341","89","17","2","4","39","34","29","63","3","7","3","",".262",".323",".361",".684",".300","","83","-0.5","1.7","","-8.6","3.4","0.8","","597.0","11472"
"Rosell Herrera","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".324",".362",".686",".300","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa547996"
"Chad Pinder","Athletics","101","403","371","91","19","2","12","43","47","21","110","5","4","2","",".246",".293",".407",".700",".300","","86","-0.8","0.1","","-7.7","-3.8","0.2","","439.8","15191"
"Christian Arroyo","Rays","58","238","220","57","12","1","5","24","25","13","43","2","2","2","",".261",".305",".386",".691",".297","","85","-0.1","0.4","","-4.5","1.6","0.5","","520.4","16434"
"Miguel Rojas","Marlins","62","240","217","58","12","1","2","21","21","17","29","2","2","1","",".266",".324",".361",".685",".296","","81","-0.2","0.4","","-5.9","1.2","0.3","","692.5","7802"
"Cristhian Adames","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".310",".371",".681",".296","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","6013"
"Tim Anderson","White Sox","138","596","565","149","27","4","15","65","61","19","147","4","15","7","",".264",".291",".402",".693",".295","","82","0.3","-3.9","","-12.7","3.0","1.1","","192.9","15172"
"Taylor Motter","Mariners","35","133","120","28","6","0","4","15","14","10","27","1","5","2","",".236",".299",".384",".683",".295","","85","0.0","-0.3","","-2.5","-0.3","0.2","","603.4","12399"
"Domingo Leyba","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".304",".376",".680",".294","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736654"
"Dawel Lugo","Tigers","46","185","174","46","8","1","4","19","20","8","25","1","1","1","",".263",".296",".389",".685",".294","","78","0.0","0.0","","-4.9","0.9","0.2","","999.0","sa659207"
"Ivan De Jesus","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".316",".354",".670",".293","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","9886"
"Allen Cordoba","Padres","35","138","125","31","5","1","3","13","13","10","29","2","3","2","",".247",".306",".367",".673",".292","","80","0.0","-0.2","","-3.5","-0.4","0.1","","686.6","15722"
"Ronald Torreyes","Yankees","89","334","311","83","15","2","4","35","33","16","42","2","4","2","",".267",".306",".366",".672",".291","","78","0.2","0.6","","-9.1","2.4","0.5","","493.4","11400"
"Wilmer Difo","Nationals","61","237","216","56","10","2","3","22","23","15","45","2","6","3","",".260",".311",".367",".677",".291","","75","0.3","1.5","","-7.4","1.6","0.2","","440.3","14320"
"Willy Adames","Rays","8","32","29","7","1","0","1","3","3","3","8","0","1","0","",".235",".311",".350",".661",".291","","81","0.0","0.0","","-0.8","0.4","0.1","","500.0","sa736655"
"Derrik Gibson","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".313",".349",".662",".290","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa456041"
"Bo Bichette","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".297",".376",".673",".290","","76","0.0","0.0","","0.0","0.0","0.0","","643.7","sa917949"
"Amed Rosario","Mets","138","549","511","131","21","6","9","50","52","26","114","4","16","9","",".257",".297",".375",".671",".289","","79","-0.6","1.6","","-15.7","8.5","1.0","","232.8","15518"
"Freddy Galvis","Padres","91","380","350","86","16","2","8","37","36","22","68","3","7","4","",".247",".295",".377",".673",".289","","78","0.2","0.3","","-10.5","4.8","0.7","","363.0","6609"
"Danny Santana","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".294",".375",".669",".287","","73","0.0","0.0","","0.0","0.0","0.0","","689.7","10322"
"Nicky Lopez","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".309",".349",".658",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918022"
"Franklin Barreto","Athletics","25","103","95","23","4","1","2","11","11","5","29","1","3","2","",".244",".290",".378",".668",".286","","77","0.0","-0.4","","-3.0","0.7","0.1","","456.9","15519"
"J.J. Hardy","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".290",".373",".663",".286","","74","0.0","0.0","","0.0","0.0","0.0","","689.0","3797"
"Mauricio Dubon","Brewers","5","20","18","5","1","0","0","2","2","1","3","0","1","0","",".252",".299",".355",".655",".284","","69","0.0","0.0","","-0.8","0.1","0.0","","656.2","sa738378"
"Kevin Newman","Pirates","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".260",".304",".349",".653",".284","","72","0.0","0.0","","-0.5","0.2","0.0","","999.0","sa827183"
"J.T. Riddle","Marlins","86","333","310","80","14","2","5","28","31","17","62","2","3","2","",".258",".297",".362",".660",".284","","73","-0.2","-0.4","","-11.6","3.9","0.3","","670.9","17642"
"Vladimir Frias","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".297",".355",".651",".283","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa455557"
"Adeiny Hechavarria","Rays","97","376","348","89","14","3","5","35","35","20","63","2","4","2","",".256",".298",".361",".659",".283","","75","-0.4","1.0","","-11.8","5.8","0.7","","536.0","10459"
