"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Ryan Zimmerman","Nationals","66","274","247","65","14","1","12","34","41","22","58","2","1","0","",".263",".326",".474",".800",".335","","103","-0.1","-0.9","","1.0","-6.9","0.3","4220"
"Eric Thames","Nationals","105","439","379","90","19","2","19","55","57","48","133","6","4","2","",".237",".330",".447",".777",".327","","98","0.2","-1.8","","-1.1","-10.5","0.3","3711"
"Jose Osuna","Pirates","75","306","280","74","19","1","9","33","38","20","59","2","2","1","",".265",".317",".439",".756",".319","","97","-0.3","-2.1","","-1.6","-5.9","0.2","12937"
"Wil Myers","Padres","80","341","300","69","15","1","13","40","40","34","106","2","9","3","",".229",".311",".416",".726",".309","","91","0.8","-0.4","","-3.3","-5.6","0.2","10047"
"Ryan O'Hearn","Royals","105","432","382","90","19","2","18","50","55","42","115","3","1","1","",".235",".314",".435",".748",".315","","94","-0.3","-0.5","","-3.9","-9.4","0.2","16442"
"Matt Beaty","Dodgers","38","155","141","39","8","0","5","18","20","10","22","2","2","1","",".274",".326",".441",".767",".323","","102","0.0","-0.6","","0.3","-3.6","0.2","17710"
"Ronald Guzman","Rangers","94","371","327","80","16","1","13","43","45","35","96","4","2","1","",".246",".325",".424",".748",".317","","88","-0.3","2.3","","-6.1","-5.5","0.2","14388"
"Garrett Cooper","Marlins","43","185","167","44","9","1","5","20","21","14","46","2","0","0","",".262",".323",".420",".744",".316","","98","-0.2","0.1","","-0.9","-3.7","0.1","15279"
"Ryon Healy","Brewers","26","106","98","25","5","0","5","12","15","6","24","1","0","0","",".257",".303",".464",".767",".320","","95","-0.3","-1.7","","-1.1","-1.6","0.1","15447"
"Greg Bird","","16","66","58","13","3","0","3","8","9","7","17","1","0","0","",".234",".325",".448",".773",".326","","94","0.0","0.3","","-0.5","-1.1","0.1","14131"
"Ryan McBroom","Royals","45","186","169","43","9","0","6","20","21","13","49","2","1","0","",".254",".315",".408",".723",".307","","88","0.0","0.1","","-2.9","-3.1","0.1","16524"
"Aramis Garcia","Giants","6","24","22","5","1","0","1","2","2","1","8","0","0","0","",".211",".266",".352",".618",".263","","63","0.0","0.0","","-1.2","0.5","0.0","16925"
"Kevin Cron","Diamondbacks","8","33","29","7","1","0","2","4","5","3","9","0","0","0","",".247",".316",".480",".796",".331","","102","0.0","-0.1","","0.1","-0.7","0.0","16211"
"Bobby Bradley","Indians","10","39","35","8","2","0","2","5","6","3","13","0","0","0","",".230",".297",".464",".761",".316","","91","0.0","-0.1","","-0.4","-0.9","0.0","17278"
"Jared Walsh","Angels","3","13","12","3","1","0","1","2","2","1","4","0","0","0","",".236",".304",".426",".730",".308","","92","0.0","0.0","","-0.1","-0.2","0.0","18607"
"Logan Morrison","","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".238",".318",".477",".795",".332","","102","0.0","0.0","","0.0","-0.1","0.0","9205"
"David Freese","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".345",".446",".791",".336","","108","0.0","0.0","","0.0","0.0","0.0","9549"
"Joe Mauer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".330",".366",".696",".302","","85","0.0","0.0","","0.0","0.0","0.0","1857"
"Justin Bour","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".334",".470",".804",".337","","108","0.0","0.0","","0.0","0.0","0.0","9744"
"Tomas Telis","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".272",".313",".385",".697",".297","","82","0.0","0.0","","0.0","0.0","0.0","10067"
"Eric Campbell","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".328",".380",".707",".307","","93","0.0","0.0","","0.0","0.0","0.0","6938"
"Jose Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".271",".321",".435",".756",".319","","96","0.0","0.0","","0.0","0.0","0.0","19254"
"Chris Carter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".307",".455",".762",".320","","99","0.0","0.0","","0.0","0.0","0.0","9911"
"Tyler Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".300",".433",".734",".308","","89","0.0","0.0","","0.0","0.0","0.0","11850"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".313",".423",".735",".311","","91","0.0","0.0","","0.0","0.0","0.0","6364"
"Matt Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".286",".415",".701",".296","","84","0.0","0.0","","0.0","0.0","0.0","7226"
"Tyler White","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".315",".399",".714",".306","","90","0.0","0.0","","0.0","0.0","0.0","15564"
"Jefry Marte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".299",".422",".721",".305","","87","0.0","0.0","","0.0","0.0","0.0","5107"
"Luis Valbuena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".292",".401",".693",".293","","79","0.0","0.0","","0.0","0.0","0.0","4969"
"Frank Schwindel","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".293",".426",".718",".301","","85","0.0","0.0","","0.0","0.0","0.0","15351"
"Tommy Joseph","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".298",".441",".739",".310","","87","0.0","0.0","","0.0","0.0","0.0","10349"
"Adrian Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".311",".410",".721",".304","","87","0.0","0.0","","0.0","0.0","0.0","1908"
"A.J. Reed","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".286",".388",".674",".287","","78","0.0","0.0","","0.0","0.0","0.0","16246"
"Rob Segedin","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".285",".375",".661",".282","","75","0.0","0.0","","0.0","0.0","0.0","11446"
"Ryder Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".284",".377",".660",".280","","71","0.0","0.0","","0.0","0.0","0.0","15982"
"Andres Blanco","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".300",".377",".677",".291","","76","0.0","0.0","","0.0","0.0","0.0","1907"
"John Hicks","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".274",".380",".654",".277","","67","0.0","0.0","","0.0","0.0","0.0","12547"
"Seth Mejias-Brean","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".290",".339",".629",".272","","67","0.0","0.0","","0.0","0.0","0.0","13905"
"Jim Adduci","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".290",".379",".669",".284","","73","0.0","0.0","","0.0","0.0","0.0","6448"
"Jake Noll","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".290",".369",".659",".281","","68","0.0","0.0","","0.0","0.0","0.0","19703"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".293",".357",".650",".281","","74","0.0","0.0","","0.0","0.0","0.0","12119"
"Stephen Cardullo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".315",".406",".720",".307","","73","0.0","0.0","","0.0","0.0","0.0","11204"
"Ryan Court","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".292",".345",".637",".277","","68","0.0","0.0","","0.0","0.0","0.0","12268"
"Chris Parmelee","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".290",".365",".655",".281","","74","0.0","0.0","","0.0","0.0","0.0","2554"
"Efren Navarro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".306",".343",".650",".281","","71","0.0","0.0","","0.0","0.0","0.0","9854"
"Blake Lalli","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".261",".306",".568",".247","","47","0.0","0.0","","-0.1","0.0","0.0","9246"
"Ryan Rua","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".266",".363",".629",".268","","63","0.0","0.0","","0.0","0.0","0.0","12409"
"Rangel Ravelo","Cardinals","12","47","42","11","2","0","1","5","5","3","9","1","0","0","",".264",".326",".416",".742",".316","","96","0.0","0.0","","-0.2","-1.3","0.0","10839"
"Peter O'Brien","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".263",".366",".629",".267","","60","0.0","0.0","","-0.1","0.0","0.0","13288"
"Matt Adams","Mets","3","12","11","2","0","0","1","1","2","1","4","0","0","0","",".224",".284",".452",".736",".305","","91","0.0","0.0","","-0.2","-0.3","0.0","9393"
"Brandon Dixon","Tigers","6","27","25","6","1","0","1","3","3","1","8","0","0","0","",".237",".284",".407",".692",".292","","78","0.0","-0.3","","-0.7","-0.4","0.0","15214"
"Neil Walker","","8","34","30","7","1","0","1","4","4","4","8","0","0","0","",".241",".326",".409",".735",".314","","91","0.0","0.0","","-0.4","-0.8","0.0","7539"
"Pablo Sandoval","Giants","13","54","50","12","3","0","2","6","7","4","12","0","0","0","",".250",".303",".435",".738",".309","","92","-0.2","-0.2","","-0.7","-1.2","0.0","5409"
"Patrick Wisdom","Mariners","6","26","24","5","1","0","1","3","3","2","9","0","0","0","",".202",".272",".370",".641",".273","","70","0.0","-0.1","","-1.0","-0.2","0.0","13602"
"Edwin Rios","Dodgers","7","27","25","6","1","0","1","3","4","2","10","0","0","0","",".226",".281",".429",".710",".296","","84","0.0","0.0","","-0.6","-0.8","0.0","18316"
"Yonder Alonso","","13","56","49","12","2","0","2","6","7","6","13","0","0","0","",".243",".322",".421",".743",".315","","91","-0.2","0.0","","-0.8","-1.5","0.0","2530"
"Steve Pearce","","24","103","91","21","4","0","4","11","12","9","25","2","0","0","",".236",".313",".409",".722",".308","","89","-0.2","-0.8","","-1.6","-2.4","-0.1","9957"
"Dominic Smith","Mets","43","177","160","39","8","0","6","20","22","13","42","1","1","1","",".242",".304",".418",".722",".306","","92","0.0","-0.5","","-2.0","-4.4","-0.1","15653"
"Sam Travis","Rangers","11","46","42","11","2","0","1","5","5","4","11","0","0","0","",".254",".318",".404",".722",".307","","81","-0.1","-0.1","","-1.2","-1.2","-0.1","16263"
"Hanley Ramirez","","49","207","184","44","8","0","9","25","28","18","49","2","2","1","",".239",".314",".436",".750",".316","","94","-0.9","-0.3","","-2.5","-5.4","-0.1","8001"
"Albert Pujols","Angels","120","513","468","118","19","0","22","61","73","36","75","4","2","1","",".252",".308",".434",".742",".312","","95","-3.6","-2.1","","-6.6","-12.6","-0.1","1177"
"Lucas Duda","","32","134","119","27","6","0","6","16","18","12","41","2","0","0","",".224",".302",".438",".740",".309","","90","-0.5","-0.2","","-2.2","-3.5","-0.1","2502"
"Ian Desmond","Rockies","58","236","214","56","11","2","9","28","31","17","58","2","4","2","",".262",".322",".452",".773",".325","","85","0.1","-0.5","","-4.6","-4.4","-0.1","6885"
"Josh Fuentes","Rockies","28","111","104","27","6","1","3","12","13","5","29","1","1","0","",".260",".296",".419",".715",".300","","68","0.1","0.1","","-4.6","-2.1","-0.3","16885"
"Mark Reynolds","","32","131","115","25","5","0","5","14","16","13","43","1","1","0","",".214",".300",".387",".687",".294","","80","-0.6","-0.3","","-4.0","-3.6","-0.3","7619"
"Chris Davis","Orioles","65","266","233","46","8","0","12","29","32","27","101","3","1","0","",".197",".287",".388",".675",".288","","75","-0.1","-0.4","","-8.7","-5.8","-0.5","9272"
