"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Manny Pina","Brewers","54","214","195","49","11","0","5","21","23","14","44","2","1","1","",".251",".307",".389",".695",".300","","79","-0.4","1.5","","-6.0","5.9","0.7","","361.0","2829"
"Yermin Mercedes","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".300",".398",".699",".300","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597096"
"Steve Clevenger","","49","194","174","45","9","1","3","18","19","15","34","1","2","1","",".256",".318",".370",".687",".299","","82","-0.6","-0.2","","-5.0","3.8","0.5","","999.0","9542"
"Kevin Plawecki","Mets","43","171","154","38","7","0","4","16","18","13","31","2","1","0","",".247",".311",".381",".692",".298","","85","-0.1","-0.1","","-3.4","3.5","0.6","","556.7","13807"
"Andrew Knizner","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".304",".389",".693",".298","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857827"
"Andrew Knapp","Phillies","28","110","97","23","5","0","2","10","11","11","30","1","1","0","",".238",".317",".372",".689",".298","","80","0.0","-0.5","","-2.8","1.8","0.3","","643.0","14942"
"Chris Herrmann","Diamondbacks","12","47","42","10","2","0","1","5","5","4","13","0","1","0","",".228",".303",".385",".689",".298","","75","0.1","0.2","","-1.5","1.2","0.1","","510.8","9284"
"Carson Kelly","Cardinals","39","153","139","34","7","0","4","15","17","11","26","1","1","1","",".249",".308",".378",".686",".298","","82","0.0","0.6","","-3.5","3.8","0.5","","534.6","13620"
"Yan Gomes","Indians","66","252","230","53","11","0","9","29","32","15","66","4","1","1","",".233",".287",".410",".697",".298","","81","-0.1","2.5","","-6.1","7.9","1.0","","389.8","9627"
"Nick Dini","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".313",".374",".687",".298","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875718"
"Kevan Smith","White Sox","21","84","77","19","4","0","2","8","9","5","16","1","0","0","",".254",".305",".379",".684",".296","","83","-0.1","-0.7","","-1.9","1.1","0.2","","594.6","12284"
"Dom Nunez","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".310",".366",".676",".295","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737813"
"Cameron Rupp","Phillies","59","232","207","46","10","0","9","23","27","19","69","2","1","1","",".222",".293",".397",".690",".295","","78","-0.7","0.0","","-7.3","4.9","0.5","","495.3","11146"
"Jose Lobaton","","23","87","78","18","3","0","2","8","9","7","20","1","1","0","",".233",".304",".375",".679",".294","","79","-0.2","-0.4","","-2.5","1.5","0.2","","690.0","4243"
"Elias Diaz","Pirates","38","150","139","37","8","0","2","13","15","8","27","1","1","1","",".264",".308",".369",".678",".294","","79","-0.3","0.1","","-4.4","3.3","0.4","","681.0","11680"
"Frank Schwindel","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".286",".407",".693",".294","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738182"
"Cam Gallagher","Royals","8","30","27","7","1","0","1","3","3","2","5","0","0","0","",".250",".308",".368",".676",".293","","78","0.0","0.0","","-0.8","0.6","0.1","","999.0","12981"
"Wynston Sawyer","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".305",".365",".671",".293","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548430"
