"","Name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"80","Hyun-Jin Ryu","Dodgers","pitcher","14444",126,3.66,1.21,0,9,121,5.54,15.24,"drafted"
"81","Carlos Martinez","Cardinals","pitcher","11682",180,4.05,1.36,0,11,166,5.5,15.14,"drafted"
"82","Eduardo Rodriguez","Red Sox","pitcher","13164",136,4.02,1.27,0,10,141,5.49,15.11,"drafted"
"83","Joe Musgrove","Pirates","pitcher","12970",162,4.03,1.27,0,10,141,5.46,15.03,""
"84","Brad Peacock","Astros","pitcher","5401",144,4.1,1.28,0,9,157,5.44,14.97,""
"85","Jakob Junis","Royals","pitcher","13619",184,4.38,1.27,0,10,160,5.3,14.58,""
"86","Shane Bieber","Indians","pitcher","19427",130,3.85,1.19,0,9,116,5.27,14.51,""
"87","Tyler Glasnow","Rays","pitcher","14374",135,3.91,1.34,0,9,158,5.25,14.45,"drafted"
"88","Shane Greene","Tigers","pitcher","10756",65,4.24,1.35,28,3,62,5.23,14.41,""
"89","Kyle Gibson","Twins","pitcher","10123",194,4.19,1.38,0,12,168,5.22,14.38,""
"90","Kevin Gausman","Braves","pitcher","14107",170,4.12,1.3,0,10,150,5.22,14.37,""
"91","Joshua James","Astros","pitcher","16794",128,3.96,1.3,0,9,146,5.14,14.15,""
"92","Alex Wood","Reds","pitcher","13781",152,3.99,1.31,0,10,138,5.02,13.81,""
"93","Jon Gray","Rockies","pitcher","14916",146,4.18,1.31,0,10,146,4.96,13.66,""
"94","Jake Arrieta","Phillies","pitcher","4153",181,4.25,1.33,0,10,162,4.93,13.56,""
"95","Sean Newcomb","Braves","pitcher","16943",177,4.2,1.42,0,11,179,4.91,13.51,"drafted"
"96","Zack Godley","Diamondbacks","pitcher","14862",178,4.13,1.38,0,10,169,4.84,13.33,"drafted"
"97","Collin McHugh","Astros","pitcher","7531",151,4.29,1.29,0,10,142,4.8,13.22,""
"98","Caleb Smith","Marlins","pitcher","14875",141,3.98,1.29,0,8,145,4.79,13.19,""
"99","Marcus Stroman","Blue Jays","pitcher","13431",196,4.14,1.38,0,12,149,4.67,12.86,""
"100","Danny Duffy","Royals","pitcher","3542",185,4.35,1.33,0,10,162,4.67,12.84,""
"101","Andrew Suarez","Giants","pitcher","18300",158,3.85,1.31,0,9,130,4.65,12.79,""
"102","Michael Pineda","Twins","pitcher","5372",138,4.09,1.26,0,9,125,4.56,12.55,"drafted"
"103","Ty Buttrey","Angels","pitcher","14719",60,3.71,1.3,21,3,63,4.55,12.53,""
"104","Trevor Rosenthal","Nationals","pitcher","10745",65,3.1,1.21,10,4,84,4.39,12.08,""
"105","Vince Velasquez","Phillies","pitcher","11189",150,4.41,1.33,0,9,156,4.29,11.82,""
"106","Jeff Samardzija","Giants","pitcher","3254",165,4.26,1.29,0,9,134,4.16,11.46,""
"107","Anibal Sanchez","Nationals","pitcher","3284",144,4.28,1.31,0,9,136,4.1,11.27,"drafted"
"108","Mike Minor","Rangers","pitcher","10021",175,4.59,1.33,0,10,157,4.06,11.17,""
"109","Michael Fulmer","Tigers","pitcher","13218",175,4.38,1.34,0,10,147,4.05,11.15,"drafted"
"110","Chad Green","Yankees","pitcher","15552",75,3.34,1.1,3,4,94,3.87,10.64,""
"111","Craig Kimbrel",NA,"pitcher","6655",65,2.79,1.07,0,4,98,3.8,10.46,""
"112","Robbie Erlin","Padres","pitcher","10354",150,4.09,1.29,0,8,120,3.72,10.23,""
"113","Alex Reyes","Cardinals","pitcher","15015",101,3.81,1.28,0,7,114,3.7,10.2,"drafted"
"114","Luke Weaver","Diamondbacks","pitcher","16918",132,4.19,1.31,0,8,127,3.66,10.07,"drafted"
"115","Tyler Anderson","Rockies","pitcher","12880",155,4.58,1.36,0,10,144,3.54,9.75,""
"116","Dylan Bundy","Orioles","pitcher","12917",183,4.88,1.34,0,9,174,3.41,9.37,""
"117","Wily Peralta","Royals","pitcher","7738",60,4.24,1.41,21,3,54,3.39,9.34,""
"118","Anthony DeSclafani","Reds","pitcher","13050",128,4.34,1.29,0,8,120,3.37,9.29,""
"119","Wei-Yin Chen","Marlins","pitcher","13071",157,4.32,1.31,0,8,130,3.37,9.29,""
"120","Kyle Freeland","Rockies","pitcher","16256",197,4.63,1.43,0,12,164,3.3,9.08,"drafted"
"121","Trevor Richards","Marlins","pitcher","19309",132,4.09,1.31,0,7,120,3.23,8.88,""
"122","Matt Barnes","Red Sox","pitcher","12863",65,3.27,1.21,5,4,82,3.21,8.84,""
"123","Ross Stripling","Dodgers","pitcher","13273",86,3.55,1.18,0,6,85,3.2,8.82,""
"124","Ryan Pressly","Astros","pitcher","7005",65,3.33,1.18,5,4,78,3.16,8.7,""
"125","Matt Strahm","Padres","pitcher","13799",75,3.42,1.2,3,4,89,3.1,8.54,""
"126","Tanner Roark","Reds","pitcher","8753",154,4.56,1.36,0,9,133,2.86,7.88,""
"127","Matthew Boyd","Tigers","pitcher","15440",170,4.81,1.35,0,9,150,2.82,7.76,"drafted"
"128","Diego Castillo","Rays","pitcher","17496",60,3.12,1.16,5,3,73,2.8,7.71,""
"129","A.J. Minter","Braves","pitcher","18655",65,3.38,1.22,6,3,78,2.78,7.65,"drafted"
"130","Zach Eflin","Phillies","pitcher","13774",145,4.63,1.32,0,8,128,2.73,7.51,"drafted"
"131","Trevor Cahill","Angels","pitcher","6249",116,4.1,1.37,0,8,107,2.71,7.45,""
"132","Craig Stammen","Padres","pitcher","7274",75,3.65,1.26,6,4,75,2.68,7.39,""
"133","Mike Fiers","Athletics","pitcher","7754",152,4.69,1.33,0,9,125,2.68,7.38,""
"134","Jimmy Nelson","Brewers","pitcher","10547",112,4.2,1.32,0,7,108,2.66,7.33,"drafted"
"135","Eric Lauer","Padres","pitcher","19316",134,4.29,1.38,0,8,122,2.66,7.33,""
"136","Tony Watson","Giants","pitcher","3132",65,3.44,1.22,8,3,64,2.64,7.27,""
"137","Dereck Rodriguez","Giants","pitcher","14509",159,4.44,1.34,0,8,124,2.59,7.13,"drafted"
"138","Jhoulys Chacin","Brewers","pitcher","2608",189,4.68,1.42,0,10,158,2.55,7.01,"drafted"
"139","Chris Paddack","Padres","pitcher","sa875195",74,3.55,1.16,0,5,77,2.54,6.98,""
"140","Carlos Rodon","White Sox","pitcher","16137",179,4.68,1.42,0,9,162,2.52,6.93,"drafted"
"141","Joe Kelly","Dodgers","pitcher","9761",65,3.21,1.22,3,4,73,2.52,6.93,""
"142","Jesse Chavez","Rangers","pitcher","5448",80,4.13,1.28,8,4,75,2.51,6.91,""
"143","Keone Kela","Pirates","pitcher","14696",60,3.25,1.19,4,3,76,2.49,6.85,""
"144","Adam Wainwright","Cardinals","pitcher","2233",123,4.2,1.35,0,8,101,2.46,6.77,""
"145","Joakim Soria","Athletics","pitcher","6941",65,3.68,1.25,8,3,66,2.38,6.55,""
"146","Danny Salazar","Indians","pitcher","5867",68,3.41,1.18,0,4,83,2.33,6.42,""
"147","Jose Urena","Marlins","pitcher","11589",162,4.39,1.38,0,8,127,2.32,6.37,""
"148","Julio Urias","Dodgers","pitcher","14765",81,3.7,1.3,0,6,84,2.29,6.3,"drafted"
"149","Brandon Woodruff","Brewers","pitcher","16162",134,4.44,1.39,0,8,121,2.28,6.29,""
"150","David Robertson",NA,"pitcher","8241",65,3.32,1.19,0,4,81,2.25,6.2,""
"151","Tommy Hunter","Phillies","pitcher","1157",65,3.86,1.26,9,3,62,2.25,6.19,""
"152","Touki Toussaint","Braves","pitcher","16929",129,4.44,1.43,0,8,128,2.24,6.16,""
"153","Matt Harvey","Angels","pitcher","11713",153,4.7,1.34,0,9,116,2.24,6.16,""
"154","Mark Melancon","Giants","pitcher","4264",65,3.52,1.28,9,3,56,2.23,6.13,""
"155","Jake Odorizzi","Twins","pitcher","6397",161,4.93,1.38,0,9,144,2.18,6.01,""
"156","Jeurys Familia","Mets","pitcher","5114",65,3.28,1.26,4,3,73,2.12,5.84,""
"157","Seth Lugo","Mets","pitcher","12447",79,3.74,1.23,2,4,77,2.07,5.69,""
"158","Mike Leake","Mariners","pitcher","10130",198,4.61,1.37,0,10,123,2.03,5.59,""
"159","Yonny Chirinos","Rays","pitcher","16401",114,4.27,1.31,0,7,90,2.01,5.54,""
"160","Lance Lynn","Rangers","pitcher","2520",138,4.46,1.43,0,8,126,1.99,5.47,""
"161","Joe Ross","Nationals","pitcher","12972",128,4.59,1.35,0,8,105,1.93,5.32,""
"162","Julio Teheran","Braves","pitcher","6797",159,4.81,1.41,0,9,138,1.92,5.3,"drafted"
"163","Lou Trivino","Athletics","pitcher","15043",70,3.63,1.3,3,4,74,1.86,5.13,""
"164","Joe Jimenez","Tigers","pitcher","15761",65,3.97,1.28,6,3,73,1.86,5.12,""
"165","Jordan Hicks","Cardinals","pitcher","19618",60,3.74,1.42,10,3,62,1.86,5.12,"drafted"
"166","Will Harris","Astros","pitcher","3192",65,3.61,1.22,2,4,68,1.83,5.03,""
"167","Antonio Senzatela","Rockies","pitcher","15488",169,4.81,1.44,0,10,139,1.77,4.86,""
"168","Clay Buchholz",NA,"pitcher","3543",170,4.73,1.39,0,9,127,1.73,4.77,""
"169","Zach Davies","Brewers","pitcher","13183",161,4.61,1.41,0,9,121,1.7,4.69,""
"170","Drew Smyly","Rangers","pitcher","11760",130,4.78,1.34,0,7,115,1.68,4.62,""
"171","Ryan Tepera","Blue Jays","pitcher","10291",65,4.2,1.32,8,3,66,1.65,4.53,""
"172","Wade LeBlanc","Mariners","pitcher","5221",149,4.72,1.36,0,8,114,1.63,4.47,"drafted"
"173","Erick Fedde","Nationals","pitcher","17425",94,4.03,1.35,0,6,83,1.57,4.31,""
"174","Adam Conley","Marlins","pitcher","14457",65,4.01,1.31,8,3,57,1.54,4.23,""
"175","Jason Vargas","Mets","pitcher","8044",113,4.38,1.33,0,6,95,1.53,4.2,""
"176","Chris Stratton","Giants","pitcher","13761",126,4.31,1.39,0,7,99,1.49,4.1,""
"177","Michael Wacha","Cardinals","pitcher","14078",100,4.2,1.35,0,6,88,1.49,4.1,""
"178","Jeremy Jeffress","Brewers","pitcher","9490",65,3.43,1.3,3,3,69,1.49,4.1,""
"179","Jalen Beeks","Rays","pitcher","17192",92,4.19,1.36,0,6,87,1.47,4.04,""
