"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Ryan McBroom","Royals","47","196","178","44","9","0","6","22","21","14","51","2","1","1",".249",".309",".403",".711",".302","0.2","-0.2","0.0","16524"
"John Hicks","Diamondbacks","5","19","18","4","1","0","1","2","2","1","6","0","0","0",".232",".274",".389",".663",".280","0.0","0.0","0.0","12547"
"Patrick Wisdom","Mariners","15","63","57","12","2","0","3","7","7","5","22","1","1","0",".208",".277",".386",".663",".281","0.0","0.1","0.0","13602"
"Miguel Cabrera","Tigers","142","595","532","144","26","0","16","56","70","54","118","3","0","0",".270",".338",".408",".746",".318","0.0","-3.6","0.0","1744"
"Sam Travis","Rangers","10","42","38","10","2","0","1","5","4","3","10","0","0","0",".259",".321",".399",".720",".308","0.0","0.0","-0.1","16263"
"Hanley Ramirez","","38","161","144","34","6","0","7","18","22","15","37","2","1","1",".238",".314",".426",".740",".312","-0.3","-0.5","-0.1","8001"
"Steve Pearce","","25","105","93","21","5","0","3","12","13","9","27","2","0","0",".227",".308",".390",".698",".300","-0.4","-0.1","-0.1","9957"
"Mark Reynolds","","23","98","86","19","4","0","4","11","13","10","31","1","1","0",".221",".306",".400",".705",".302","-0.1","-0.2","-0.1","7619"
"Ian Desmond","Rockies","63","265","241","62","12","2","9","33","35","19","65","2","5","2",".259",".317",".441",".759",".320","-1.6","0.1","-0.1","6885"
"Lucas Duda","","27","112","99","22","5","0","5","12","15","10","33","2","0","0",".219",".298",".417",".715",".300","-0.1","-0.3","-0.1","2502"
"Josh Fuentes","Rockies","29","121","113","29","6","1","3","14","14","5","31","1","1","1",".259",".295",".422",".718",".301","0.6","-0.1","-0.2","16885"
"Albert Pujols","Angels","122","511","469","116","20","0","20","55","76","34","70","3","2","0",".248",".300",".416",".716",".301","-2.1","-2.5","-0.3","1177"
"Chris Davis","Orioles","65","273","239","46","8","0","11","28","32","29","105","3","1","0",".192",".283",".367",".649",".279","-0.2","-0.1","-0.6","9272"
