"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Gary Sanchez","Yankees","123","515","465","123","22","0","31","72","90","39","115","6","3","1",".265",".328",".514",".842",".353","-3.2","-0.4","3.5","20.1","11442"
"Buster Posey","Giants","129","540","475","141","27","1","14","64","69","55","62","5","4","2",".297",".372",".449",".821",".349","7.3","-1.3","4.5","59.0","9166"
"Willson Contreras","Cubs","129","542","480","129","26","2","20","66","77","52","116","6","6","5",".268",".344",".456",".800",".342","-0.8","-2.1","3.0","52.6","11609"
"Chris Iannetta","Rockies","76","320","274","68","15","0","12","36","40","39","80","4","1","0",".247",".347",".438",".785",".339","-2.2","-0.9","1.0","282.3","8267"
"Jonathan Lucroy","","99","416","369","105","21","2","10","46","51","39","56","4","2","1",".284",".355",".436",".791",".338","-0.9","-1.3","2.4","184.0","7870"
"Yasmani Grandal","Dodgers","69","288","250","59","12","0","14","32","41","34","75","1","1","1",".235",".327",".449",".775",".332","-0.2","-1.0","1.6","229.1","11368"
"Evan Gattis","Astros","138","580","530","135","26","3","30","71","94","38","118","6","1","1",".255",".309",".483",".791",".331","-1.9","-1.5","1.6","148.3","11003"
"Alex Avila","Diamondbacks","79","331","274","62","12","1","11","35","36","53","110","1","1","1",".227",".353",".392",".745",".328","0.6","-1.3","1.3","364.7","7476"
"Russell Martin","Blue Jays","107","448","380","88","16","0","16","54","56","54","112","9","3","3",".231",".338",".405",".743",".324","3.4","-1.8","2.6","320.9","4616"
"Stephen Vogt","Brewers","69","288","262","68","14","1","11","31","38","22","52","2","1","1",".258",".316",".446",".762",".323","-3.3","-0.5","0.9","339.4","5000"
"Brian McCann","Astros","107","448","394","95","14","1","20","54","66","41","81","7","1","0",".241",".322",".431",".752",".322","-1.0","-1.4","2.3","215.4","4810"
"Robinson Chirinos","Rangers","123","515","449","103","22","2","22","63","65","47","134","11","3","1",".229",".315",".435",".750",".322","2.0","-1.0","2.4","259.6","3142"
"Austin Barnes","Dodgers","83","350","305","78","16","2","7","40","40","37","59","4","7","2",".256",".343",".394",".737",".322","-0.4","0.0","1.7","184.1","12158"
"Tyler Flowers","Braves","91","384","340","85","16","0","12","37","47","29","99","11","1","1",".251",".329",".402",".731",".318","-3.1","-1.1","1.2","298.8","9134"
"Francisco Cervelli","Pirates","91","384","332","86","15","2","5","38","36","42","78","6","2","2",".260",".351",".362",".713",".317","-2.7","-0.9","1.3","438.9","5275"
"Mike Zunino","Mariners","114","480","428","94","19","0","26","56","69","38","158","9","1","1",".221",".296",".448",".745",".316","-0.8","-0.4","2.4","159.4","13265"
"J.T. Realmuto","Marlins","122","512","472","127","26","4","13","57","55","31","91","5","8","3",".270",".320",".423",".742",".316","1.5","0.5","2.5","102.5","11739"
"Devin Mesoraco","Reds","61","256","223","50","10","1","10","27","31","25","59","5","2","1",".225",".315",".419",".734",".316","-2.9","-0.5","0.7","495.4","5666"
