"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Joe McCarthy","Giants","15","63","55","12","2","0","1","6","6","7","18","1","1","0",".216",".305",".344",".649",".284","0.0","0.0","-0.1","sa858039"
"Nick Heath","Royals","13","56","50","11","2","1","1","6","5","5","17","0","4","1",".227",".294",".330",".624",".272","0.0","0.2","-0.1","sa918355"
"Chris Owings","","12","50","46","11","3","0","1","5","6","3","14","0","1","0",".247",".297",".392",".690",".293","0.0","0.1","-0.1","10030"
"Greg Allen","Indians","60","252","227","56","11","2","4","27","25","16","55","6","9","3",".246",".310",".362",".672",".290","0.7","0.4","-0.1","16623"
"Rajai Davis","","13","56","52","12","2","0","1","6","5","3","14","1","2","1",".237",".283",".357",".639",".274","-0.4","0.1","-0.1","3708"
"Drew Robinson","","13","56","49","10","2","0","1","5","5","6","20","0","1","1",".203",".293",".336",".629",".274","-0.3","0.0","-0.1","11761"
"Jacoby Ellsbury","","30","126","112","26","5","1","2","12","12","11","25","2","3","1",".236",".309",".350",".659",".286","-1.6","0.1","-0.1","4727"
"Travis Jankowski","Reds","27","113","100","24","4","0","1","11","9","11","26","1","4","1",".238",".316",".322",".639",".283","-0.5","0.3","-0.1","13768"
"Mark Trumbo","","83","350","319","76","14","1","17","40","50","26","93","2","1","0",".238",".297",".444",".741",".311","-0.2","-0.8","-0.1","6876"
"Franchy Cordero","Padres","109","456","415","93","18","3","14","47","50","32","153","4","9","4",".225",".284",".383",".666",".284","-2.5","1.2","-0.1","14567"
"Charlie Culberson","","34","144","133","32","6","1","3","14","16","8","38","1","2","1",".238",".285",".377",".663",".281","0.0","0.1","-0.1","3298"
"Austin Jackson","","22","91","82","20","4","0","1","9","8","7","27","1","1","0",".239",".303",".352",".655",".283","-1.3","0.0","-0.1","9848"
"Sam Travis","","37","154","138","35","6","1","4","17","18","13","37","1","2","1",".255",".319",".406",".725",".309","-0.3","-0.2","-0.2","16263"
"Magneuris Sierra","Marlins","46","192","179","46","7","2","2","16","17","9","36","1","8","4",".254",".291",".349",".639",".274","-0.2","0.4","-0.2","17023"
"Monte Harrison","Marlins","62","259","235","53","9","1","7","25","26","17","82","3","8","3",".225",".285",".372",".657",".281","0.0","0.4","-0.2","sa828691"
"Steve Wilkerson","Orioles","52","217","198","47","9","1","5","21","21","13","57","3","3","1",".235",".290",".358",".648",".279","-1.3","0.0","-0.2","16041"
"Adolis Garcia","Rangers","30","126","118","27","5","1","5","14","16","5","39","1","3","1",".233",".271",".423",".694",".290","-0.3","0.0","-0.2","19287"
"Raimel Tapia","Rockies","74","312","290","80","16","3","6","34","35","16","66","2","7","3",".277",".317",".418",".735",".311","-1.9","0.5","-0.2","14350"
"Sam Hilliard","Rockies","92","385","349","87","15","3","15","44","50","28","117","2","11","5",".248",".306",".436",".743",".312","-1.4","0.1","-0.3","17954"
"Bubba Starling","Royals","80","336","311","74","16","1","7","31","33","19","85","2","5","2",".237",".284",".363",".647",".277","0.6","0.2","-0.3","13356"
"Peter Bourjos","","42","175","162","37","8","2","3","17","17","9","46","2","3","1",".227",".272",".362",".635",".270","-0.5","0.2","-0.4","2578"
"Lewis Brinson","Marlins","97","406","369","80","16","3","10","36","40","25","121","6","7","3",".217",".276",".362",".638",".272","-1.5","0.2","-0.4","14352"
"Jon Jay","","83","350","317","82","15","2","3","35","28","21","65","7","3","1",".258",".315",".345",".660",".288","-1.9","-0.1","-0.4","5227"
